level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
9760,qf,2022njski,2022njski_qf1m1,1,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc193', 'frc5438', 'frc102']",red,frc1923,frc1914,frc8513,frc193,frc5438,frc102,Yes,None,2,3,0,21,74,Yes,4
9846,sf,2022njski,2022njski_sf1m1,1,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc1676', 'frc3314', 'frc1279']",red,frc1923,frc1914,frc8513,frc1676,frc3314,frc1279,Yes,High,1,2,0,13,78,Yes,4
9758,f,2022njski,2022njski_f1m1,1,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc41', 'frc11', 'frc303']",red,frc1923,frc1914,frc8513,frc41,frc11,frc303,Yes,None,1,4,0,18,88,Yes,4
9761,qf,2022njski,2022njski_qf1m2,2,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc193', 'frc5438', 'frc102']",red,frc1923,frc1914,frc8513,frc193,frc5438,frc102,Yes,None,2,2,0,20,78,Yes,4
9759,f,2022njski,2022njski_f1m2,2,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc41', 'frc11', 'frc303']",red,frc1923,frc1914,frc8513,frc41,frc11,frc303,Yes,None,1,6,1,7,67,Yes,4
9847,sf,2022njski,2022njski_sf1m2,2,1,red,"['frc1923', 'frc1914', 'frc8513', 'frc1676', 'frc3314', 'frc1279']",red,frc1923,frc1914,frc8513,frc1676,frc3314,frc1279,Yes,Low,1,3,0,13,78,Yes,4
8340,qm,2022mrcmp,2022mrcmp_qm5,5,1,red,"['frc5895', 'frc11', 'frc5407', 'frc203', 'frc5732', 'frc8513']",blue,frc203,frc5732,frc8513,frc5895,frc11,frc5407,No,Mid,0,1,16,6,56,No,-1
9823,qm,2022njski,2022njski_qm6,6,1,red,"['frc8714', 'frc8130', 'frc8513', 'frc8630', 'frc8075', 'frc41']",red,frc8714,frc8130,frc8513,frc8630,frc8075,frc41,Yes,Mid,3,0,13,3,47,Yes,4
9769,qm,2022njski,2022njski_qm10,10,1,blue,"['frc6897', 'frc8130', 'frc4361', 'frc2577', 'frc1403', 'frc8513']",blue,frc2577,frc1403,frc8513,frc6897,frc8130,frc4361,Yes,None,2,2,0,10,52,Yes,4
8298,qm,2022mrcmp,2022mrcmp_qm12,12,1,red,"['frc103', 'frc5895', 'frc5732', 'frc5181', 'frc8513', 'frc223']",blue,frc5181,frc8513,frc223,frc103,frc5895,frc5732,Yes,None,1,4,0,3,30,No,-1
9780,qm,2022njski,2022njski_qm20,20,1,blue,"['frc2458', 'frc8714', 'frc1403', 'frc8513', 'frc293', 'frc1914']",blue,frc8513,frc293,frc1914,frc2458,frc8714,frc1403,Yes,Mid,1,5,4,8,64,Yes,4
9785,qm,2022njski,2022njski_qm25,25,1,blue,"['frc555', 'frc5438', 'frc8714', 'frc3314', 'frc56', 'frc8513']",blue,frc3314,frc56,frc8513,frc555,frc5438,frc8714,Yes,None,2,1,18,5,72,Yes,4
8316,qm,2022mrcmp,2022mrcmp_qm28,28,1,blue,"['frc8513', 'frc834', 'frc102', 'frc7110', 'frc1218', 'frc3142']",red,frc8513,frc834,frc102,frc7110,frc1218,frc3142,Yes,None,0,1,6,13,54,No,-1
9794,qm,2022njski,2022njski_qm33,33,1,blue,"['frc8513', 'frc1279', 'frc555', 'frc5992', 'frc204', 'frc222']",red,frc8513,frc1279,frc555,frc5992,frc204,frc222,Yes,Low,4,0,9,7,41,No,4
8326,qm,2022mrcmp,2022mrcmp_qm37,37,1,red,"['frc2590', 'frc2180', 'frc4342', 'frc8513', 'frc1640', 'frc6327']",blue,frc8513,frc1640,frc6327,frc2590,frc2180,frc4342,Yes,Mid,1,4,8,10,68,No,-1
9799,qm,2022njski,2022njski_qm38,38,1,blue,"['frc8075', 'frc6016', 'frc223', 'frc222', 'frc8513', 'frc3637']",blue,frc222,frc8513,frc3637,frc8075,frc6016,frc223,Yes,Low,1,2,0,10,57,Yes,4
9806,qm,2022njski,2022njski_qm44,44,1,red,"['frc25', 'frc8513', 'frc8075', 'frc8628', 'frc4750', 'frc1279']",red,frc25,frc8513,frc8075,frc8628,frc4750,frc1279,Yes,Mid,1,1,2,0,22,Yes,4
8339,qm,2022mrcmp,2022mrcmp_qm49,49,1,red,"['frc1403', 'frc7110', 'frc8513', 'frc3637', 'frc5490', 'frc1811']",red,frc1403,frc7110,frc8513,frc3637,frc5490,frc1811,Yes,None,2,1,8,7,46,Yes,-1
9815,qm,2022njski,2022njski_qm52,52,1,blue,"['frc219', 'frc8513', 'frc6897', 'frc2458', 'frc223', 'frc75']",red,frc219,frc8513,frc6897,frc2458,frc223,frc75,Yes,Mid,1,2,7,7,51,No,4
9821,qm,2022njski,2022njski_qm58,58,1,blue,"['frc8771', 'frc8513', 'frc2458', 'frc11', 'frc8130', 'frc1923']",red,frc8771,frc8513,frc2458,frc11,frc8130,frc1923,Yes,Mid,3,0,15,4,47,No,4
8350,qm,2022mrcmp,2022mrcmp_qm59,59,1,blue,"['frc1626', 'frc8513', 'frc3314', 'frc2607', 'frc2539', 'frc1914']",red,frc1626,frc8513,frc3314,frc2607,frc2539,frc1914,Yes,Mid,3,3,10,10,81,No,-1
9827,qm,2022njski,2022njski_qm63,63,1,blue,"['frc8513', 'frc2070', 'frc8628', 'frc8771', 'frc5438', 'frc56']",red,frc8513,frc2070,frc8628,frc8771,frc5438,frc56,Yes,Mid,0,0,15,0,31,No,4
8359,qm,2022mrcmp,2022mrcmp_qm67,67,1,,"['frc341', 'frc1807', 'frc1676', 'frc484', 'frc316', 'frc8513']",blue,frc484,frc316,frc8513,frc341,frc1807,frc1676,Yes,None,2,5,6,18,84,Tie,-1
9836,qm,2022njski,2022njski_qm71,71,1,blue,"['frc4750', 'frc8075', 'frc2577', 'frc193', 'frc303', 'frc8513']",blue,frc193,frc303,frc8513,frc4750,frc8075,frc2577,Yes,Mid,1,2,10,5,46,Yes,4
8367,qm,2022mrcmp,2022mrcmp_qm74,74,1,red,"['frc484', 'frc293', 'frc1647', 'frc5490', 'frc272', 'frc8513']",blue,frc5490,frc272,frc8513,frc484,frc293,frc1647,Yes,Mid,3,0,15,8,63,No,-1
9841,qm,2022njski,2022njski_qm76,76,1,blue,"['frc8513', 'frc8139', 'frc5992', 'frc1676', 'frc2070', 'frc193']",red,frc8513,frc8139,frc5992,frc1676,frc2070,frc193,Yes,Mid,1,1,12,0,44,No,4
8375,qm,2022mrcmp,2022mrcmp_qm81,81,1,blue,"['frc6327', 'frc484', 'frc1257', 'frc8513', 'frc1914', 'frc1168']",blue,frc8513,frc1914,frc1168,frc6327,frc484,frc1257,Yes,Mid,1,3,1,15,75,Yes,-1
8386,qm,2022mrcmp,2022mrcmp_qm91,91,1,red,"['frc2539', 'frc8513', 'frc4342', 'frc7414', 'frc1923', 'frc272']",red,frc2539,frc8513,frc4342,frc7414,frc1923,frc272,Yes,Low,2,5,0,25,109,Yes,-1
8288,qm,2022mrcmp,2022mrcmp_qm110,110,1,blue,"['frc1811', 'frc8513', 'frc2016', 'frc486', 'frc341', 'frc4373']",red,frc1811,frc8513,frc2016,frc486,frc341,frc4373,Yes,Mid,2,1,5,4,56,No,-1
8297,qm,2022mrcmp,2022mrcmp_qm119,119,1,red,"['frc8513', 'frc341', 'frc25', 'frc2191', 'frc1672', 'frc1218']",red,frc8513,frc341,frc25,frc2191,frc1672,frc1218,Yes,None,1,2,2,16,84,Yes,-1
