level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
11439,qf,2022paben,2022paben_qf2m1,1,2,blue,"['frc6327', 'frc1391', 'frc4285', 'frc5401', 'frc2607', 'frc1712']",blue,frc5401,frc2607,frc1712,frc6327,frc1391,frc4285,Yes,Traversal,1,4,4,6,70,Yes,4
11614,qf,2022pahat,2022pahat_qf2m1,1,2,red,"['frc1391', 'frc1218', 'frc103', 'frc6226', 'frc2234', 'frc5401']",blue,frc6226,frc2234,frc5401,frc1391,frc1218,frc103,Yes,None,1,1,1,5,44,No,0
11440,qf,2022paben,2022paben_qf2m2,2,2,red,"['frc6327', 'frc1391', 'frc4285', 'frc5401', 'frc2607', 'frc1712']",blue,frc5401,frc2607,frc1712,frc6327,frc1391,frc4285,Yes,Mid,1,1,0,1,30,No,4
11441,qf,2022paben,2022paben_qf2m3,3,2,red,"['frc6327', 'frc1391', 'frc4285', 'frc5401', 'frc2607', 'frc1712']",blue,frc5401,frc2607,frc1712,frc6327,frc1391,frc4285,Yes,High,1,5,0,5,64,No,4
11468,qm,2022paben,2022paben_qm3,3,1,red,"['frc5401', 'frc2554', 'frc1626', 'frc5624', 'frc1807', 'frc4575']",red,frc5401,frc2554,frc1626,frc5624,frc1807,frc4575,Yes,High,0,0,0,18,52,Yes,4
11664,qm,2022pahat,2022pahat_qm5,5,1,red,"['frc2095', 'frc709', 'frc2180', 'frc5457', 'frc5401', 'frc2559']",blue,frc5457,frc5401,frc2559,frc2095,frc709,frc2180,No,None,1,0,0,4,14,No,0
11501,qm,2022paben,2022paben_qm7,7,1,red,"['frc272', 'frc2559', 'frc433', 'frc5401', 'frc5181', 'frc4653']",blue,frc5401,frc5181,frc4653,frc272,frc2559,frc433,Yes,None,1,2,6,4,49,No,4
11622,qm,2022pahat,2022pahat_qm11,11,1,blue,"['frc5420', 'frc5401', 'frc1640', 'frc5895', 'frc6226', 'frc1391']",red,frc5420,frc5401,frc1640,frc5895,frc6226,frc1391,No,None,0,0,7,6,39,No,0
11450,qm,2022paben,2022paben_qm13,13,1,blue,"['frc6921', 'frc1712', 'frc486', 'frc6327', 'frc4575', 'frc5401']",blue,frc6327,frc4575,frc5401,frc6921,frc1712,frc486,Yes,High,0,2,0,7,48,Yes,4
11453,qm,2022paben,2022paben_qm16,16,1,red,"['frc8707', 'frc1807', 'frc5181', 'frc486', 'frc5401', 'frc2191']",blue,frc486,frc5401,frc2191,frc8707,frc1807,frc5181,Yes,High,0,0,0,7,49,No,4
11627,qm,2022pahat,2022pahat_qm16,16,1,blue,"['frc708', 'frc5113', 'frc5420', 'frc5401', 'frc2720', 'frc1218']",blue,frc5401,frc2720,frc1218,frc708,frc5113,frc5420,Yes,None,0,0,1,2,45,Yes,0
11459,qm,2022paben,2022paben_qm21,21,1,red,"['frc5401', 'frc2559', 'frc8706', 'frc8707', 'frc6921', 'frc4652']",red,frc5401,frc2559,frc8706,frc8707,frc6921,frc4652,Yes,Traversal,1,1,1,8,52,Yes,4
11634,qm,2022pahat,2022pahat_qm22,22,1,red,"['frc2234', 'frc1218', 'frc5895', 'frc5401', 'frc1391', 'frc7877']",blue,frc5401,frc1391,frc7877,frc2234,frc1218,frc5895,Yes,None,1,2,1,4,33,No,0
11637,qm,2022pahat,2022pahat_qm25,25,1,red,"['frc5401', 'frc7110', 'frc5895', 'frc2539', 'frc2559', 'frc272']",red,frc5401,frc7110,frc5895,frc2539,frc2559,frc272,Yes,None,0,5,1,17,65,Yes,0
11463,qm,2022paben,2022paben_qm25,25,1,red,"['frc6921', 'frc2191', 'frc1807', 'frc2016', 'frc5401', 'frc7587']",blue,frc2016,frc5401,frc7587,frc6921,frc2191,frc1807,Yes,High,0,3,6,11,60,No,4
11469,qm,2022paben,2022paben_qm30,30,1,blue,"['frc6921', 'frc7414', 'frc2554', 'frc272', 'frc5401', 'frc1712']",blue,frc272,frc5401,frc1712,frc6921,frc7414,frc2554,Yes,None,0,4,1,10,53,Yes,4
11646,qm,2022pahat,2022pahat_qm33,33,1,blue,"['frc1647', 'frc2180', 'frc5401', 'frc365', 'frc4373', 'frc484']",red,frc1647,frc2180,frc5401,frc365,frc4373,frc484,No,None,0,0,8,0,10,No,0
11475,qm,2022paben,2022paben_qm36,36,1,blue,"['frc4652', 'frc5401', 'frc4637', 'frc6327', 'frc1626', 'frc5624']",red,frc4652,frc5401,frc4637,frc6327,frc1626,frc5624,Yes,Low,1,0,8,0,30,No,4
11650,qm,2022pahat,2022pahat_qm37,37,1,red,"['frc708', 'frc6808', 'frc1807', 'frc709', 'frc103', 'frc5401']",blue,frc709,frc103,frc5401,frc708,frc6808,frc1807,Yes,None,1,1,0,1,24,No,0
11478,qm,2022paben,2022paben_qm39,39,1,red,"['frc2559', 'frc316', 'frc5401', 'frc5624', 'frc2554', 'frc321']",red,frc2559,frc316,frc5401,frc5624,frc2554,frc321,Yes,None,1,3,0,14,73,Yes,4
11657,qm,2022pahat,2022pahat_qm43,43,1,red,"['frc6226', 'frc5457', 'frc7110', 'frc6808', 'frc5401', 'frc341']",blue,frc6808,frc5401,frc341,frc6226,frc5457,frc7110,Yes,None,2,0,4,1,24,No,0
11488,qm,2022paben,2022paben_qm48,48,1,red,"['frc321', 'frc4575', 'frc5401', 'frc8706', 'frc1391', 'frc2191']",red,frc321,frc4575,frc5401,frc8706,frc1391,frc2191,Yes,Traversal,0,3,1,17,68,Yes,4
11663,qm,2022pahat,2022pahat_qm49,49,1,red,"['frc5684', 'frc423', 'frc5401', 'frc5113', 'frc1143', 'frc2722']",red,frc5684,frc423,frc5401,frc5113,frc1143,frc2722,Yes,None,1,1,3,3,47,Yes,0
11494,qm,2022paben,2022paben_qm53,53,1,blue,"['frc5624', 'frc7414', 'frc5401', 'frc486', 'frc2016', 'frc8707']",red,frc5624,frc7414,frc5401,frc486,frc2016,frc8707,Yes,Mid,0,0,1,1,33,No,4
11673,qm,2022pahat,2022pahat_qm58,58,1,red,"['frc2607', 'frc816', 'frc1218', 'frc5401', 'frc2722', 'frc272']",blue,frc5401,frc2722,frc272,frc2607,frc816,frc1218,Yes,None,1,2,4,5,34,No,0
11499,qm,2022paben,2022paben_qm58,58,1,red,"['frc5401', 'frc433', 'frc2016', 'frc272', 'frc8706', 'frc4652']",red,frc5401,frc433,frc2016,frc272,frc8706,frc4652,No,None,0,5,0,13,66,Yes,4
11677,qm,2022pahat,2022pahat_qm61,61,1,blue,"['frc7414', 'frc7877', 'frc2722', 'frc6226', 'frc365', 'frc5401']",blue,frc6226,frc365,frc5401,frc7414,frc7877,frc2722,Yes,None,0,5,1,9,59,Yes,0
11682,qm,2022pahat,2022pahat_qm66,66,1,blue,"['frc7414', 'frc5401', 'frc2234', 'frc103', 'frc272', 'frc423']",red,frc7414,frc5401,frc2234,frc103,frc272,frc423,Yes,None,0,1,1,6,48,No,0
