level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
5520,qf,2022miesc,2022miesc_qf1m1,1,1,red,"['frc6637', 'frc857', 'frc5547', 'frc7154', 'frc5230', 'frc904']",blue,frc7154,frc5230,frc904,frc6637,frc857,frc5547,No,None,2,0,5,3,25,No,2
7280,qf,2022miwal,2022miwal_qf2m1,1,2,red,"['frc5167', 'frc1', 'frc5708', 'frc5230', 'frc4994', 'frc5229']",blue,frc5230,frc4994,frc5229,frc5167,frc1,frc5708,Yes,Mid,3,1,4,2,45,No,-1
5521,qf,2022miesc,2022miesc_qf1m2,2,1,red,"['frc6637', 'frc857', 'frc5547', 'frc7154', 'frc5230', 'frc904']",blue,frc7154,frc5230,frc904,frc6637,frc857,frc5547,No,None,1,0,3,3,21,No,2
7298,qm,2022miwal,2022miwal_qm2,2,1,red,"['frc5505', 'frc8385', 'frc1', 'frc7289', 'frc5230', 'frc5533']",blue,frc7289,frc5230,frc5533,frc5505,frc8385,frc1,Yes,None,2,0,4,2,18,No,-1
5539,qm,2022miesc,2022miesc_qm2,2,1,red,"['frc5216', 'frc4827', 'frc6112', 'frc6345', 'frc4391', 'frc5230']",blue,frc6345,frc4391,frc5230,frc5216,frc4827,frc6112,No,None,1,2,4,0,20,No,2
7281,qf,2022miwal,2022miwal_qf2m2,2,2,red,"['frc5167', 'frc1', 'frc5708', 'frc5230', 'frc4994', 'frc5229']",blue,frc5230,frc4994,frc5229,frc5167,frc1,frc5708,Yes,None,3,1,3,0,53,No,-1
5594,qm,2022miesc,2022miesc_qm7,7,1,blue,"['frc5714', 'frc5230', 'frc4827', 'frc5486', 'frc6345', 'frc6112']",red,frc5714,frc5230,frc4827,frc5486,frc6345,frc6112,No,None,1,0,6,0,12,No,2
7364,qm,2022miwal,2022miwal_qm8,8,1,red,"['frc5230', 'frc8385', 'frc3098', 'frc7856', 'frc7553', 'frc8362']",red,frc5230,frc8385,frc3098,frc7856,frc7553,frc8362,Yes,None,1,1,7,4,39,Yes,-1
5536,qm,2022miesc,2022miesc_qm17,17,1,red,"['frc1596', 'frc5230', 'frc5314', 'frc4375', 'frc5547', 'frc4988']",red,frc1596,frc5230,frc5314,frc4375,frc5547,frc4988,Yes,Mid,1,1,4,8,38,Yes,2
7300,qm,2022miwal,2022miwal_qm21,21,1,blue,"['frc5230', 'frc8426', 'frc308', 'frc6085', 'frc7784', 'frc5229']",red,frc5230,frc8426,frc308,frc6085,frc7784,frc5229,Yes,Mid,1,0,6,6,38,No,-1
7304,qm,2022miwal,2022miwal_qm25,25,1,red,"['frc3098', 'frc6033', 'frc3641', 'frc5167', 'frc7769', 'frc5230']",blue,frc5167,frc7769,frc5230,frc3098,frc6033,frc3641,Yes,Mid,1,2,1,14,75,No,-1
5545,qm,2022miesc,2022miesc_qm25,25,1,blue,"['frc5709', 'frc7244', 'frc1596', 'frc6569', 'frc5230', 'frc857']",blue,frc6569,frc5230,frc857,frc5709,frc7244,frc1596,No,Mid,0,1,8,0,28,Yes,2
5549,qm,2022miesc,2022miesc_qm29,29,1,red,"['frc6637', 'frc5183', 'frc5230', 'frc6079', 'frc6569', 'frc1596']",red,frc6637,frc5183,frc5230,frc6079,frc6569,frc1596,No,Mid,1,0,3,2,34,Yes,2
7310,qm,2022miwal,2022miwal_qm30,30,1,red,"['frc8873', 'frc4994', 'frc5230', 'frc5229', 'frc7289', 'frc94']",red,frc8873,frc4994,frc5230,frc5229,frc7289,frc94,Yes,None,4,0,15,0,67,Yes,-1
5555,qm,2022miesc,2022miesc_qm34,34,1,,"['frc4835', 'frc6637', 'frc5547', 'frc5216', 'frc5230', 'frc7826']",blue,frc5216,frc5230,frc7826,frc4835,frc6637,frc5547,No,None,1,0,21,0,33,Tie,2
7316,qm,2022miwal,2022miwal_qm36,36,1,blue,"['frc5230', 'frc8854', 'frc7553', 'frc302', 'frc7598', 'frc6085']",red,frc5230,frc8854,frc7553,frc302,frc7598,frc6085,No,None,1,2,10,0,43,No,-1
5562,qm,2022miesc,2022miesc_qm40,40,1,blue,"['frc5702', 'frc5878', 'frc5706', 'frc5230', 'frc5505', 'frc4375']",blue,frc5230,frc5505,frc4375,frc5702,frc5878,frc5706,Yes,None,1,0,9,6,42,Yes,2
7323,qm,2022miwal,2022miwal_qm42,42,1,red,"['frc8362', 'frc5505', 'frc5214', 'frc5230', 'frc5048', 'frc6120']",blue,frc5230,frc5048,frc6120,frc8362,frc5505,frc5214,Yes,Mid,0,1,20,1,42,No,-1
5568,qm,2022miesc,2022miesc_qm46,46,1,blue,"['frc5505', 'frc7826', 'frc5314', 'frc8517', 'frc7782', 'frc5230']",blue,frc8517,frc7782,frc5230,frc5505,frc7826,frc5314,No,Mid,0,2,7,2,48,Yes,2
7330,qm,2022miwal,2022miwal_qm49,49,1,red,"['frc7784', 'frc5505', 'frc5230', 'frc7716', 'frc8873', 'frc7553']",red,frc7784,frc5505,frc5230,frc7716,frc8873,frc7553,Yes,None,1,0,6,3,41,Yes,-1
5580,qm,2022miesc,2022miesc_qm57,57,1,red,"['frc6088', 'frc6558', 'frc6569', 'frc5230', 'frc5702', 'frc5547']",blue,frc5230,frc5702,frc5547,frc6088,frc6558,frc6569,No,None,0,2,10,1,24,No,2
5586,qm,2022miesc,2022miesc_qm62,62,1,red,"['frc5230', 'frc6112', 'frc6079', 'frc7244', 'frc6088', 'frc5702']",red,frc5230,frc6112,frc6079,frc7244,frc6088,frc5702,Yes,Mid,1,0,16,0,45,Yes,2
7345,qm,2022miwal,2022miwal_qm62,62,1,red,"['frc7598', 'frc5230', 'frc8362', 'frc5533', 'frc5695', 'frc5708']",red,frc7598,frc5230,frc8362,frc5533,frc5695,frc5708,No,None,1,1,5,0,17,Yes,-1
5591,qm,2022miesc,2022miesc_qm67,67,1,blue,"['frc5230', 'frc4715', 'frc7154', 'frc3602', 'frc5216', 'frc7244']",red,frc5230,frc4715,frc7154,frc3602,frc5216,frc7244,Yes,Mid,2,0,6,5,42,No,2
7350,qm,2022miwal,2022miwal_qm67,67,1,red,"['frc3641', 'frc5230', 'frc5538', 'frc5066', 'frc4994', 'frc5533']",red,frc3641,frc5230,frc5538,frc5066,frc4994,frc5533,Yes,None,1,2,5,8,58,Yes,-1
5596,qm,2022miesc,2022miesc_qm71,71,1,red,"['frc5314', 'frc5216', 'frc2586', 'frc4392', 'frc7823', 'frc5230']",blue,frc4392,frc7823,frc5230,frc5314,frc5216,frc2586,Yes,Mid,2,0,9,0,27,No,2
7358,qm,2022miwal,2022miwal_qm74,74,1,blue,"['frc5538', 'frc94', 'frc7856', 'frc8332', 'frc302', 'frc5230']",blue,frc8332,frc302,frc5230,frc5538,frc94,frc7856,Yes,None,1,5,5,17,82,Yes,-1
7363,qm,2022miwal,2022miwal_qm79,79,1,red,"['frc7225', 'frc7769', 'frc302', 'frc5708', 'frc5230', 'frc6020']",blue,frc5708,frc5230,frc6020,frc7225,frc7769,frc302,Yes,Low,1,0,4,0,16,No,-1
