level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
2124,qm,2022dc320,2022dc320_qm1,1,1,red,"['frc623', 'frc1719', 'frc6213', 'frc1895', 'frc4505', 'frc2421']",blue,frc1895,frc4505,frc2421,frc623,frc1719,frc6213,No,Mid,0,0,1,9,37,No,2
2122,f,2022dc320,2022dc320_f1m1,1,1,red,"['frc5804', 'frc623', 'frc1895', 'frc5724', 'frc1719', 'frc2537']",red,frc5804,frc623,frc1895,frc5724,frc1719,frc2537,Yes,None,0,3,0,14,76,Yes,2
2011,sf,2022dc305,2022dc305_sf2m1,1,2,red,"['frc4099', 'frc620', 'frc2914', 'frc1895', 'frc4242', 'frc4505']",blue,frc1895,frc4242,frc4505,frc4099,frc620,frc2914,No,Mid,2,0,3,3,31,No,0
2151,sf,2022dc320,2022dc320_sf1m1,1,1,red,"['frc5804', 'frc623', 'frc1895', 'frc8230', 'frc4638', 'frc2186']",red,frc5804,frc623,frc1895,frc8230,frc4638,frc2186,Yes,None,0,4,0,12,80,Yes,2
1976,qm,2022dc305,2022dc305_qm1,1,1,blue,"['frc836', 'frc8622', 'frc1895', 'frc611', 'frc2900', 'frc888']",red,frc836,frc8622,frc1895,frc611,frc2900,frc888,Yes,None,1,3,0,0,16,No,0
2012,sf,2022dc305,2022dc305_sf2m2,2,2,red,"['frc4099', 'frc620', 'frc2914', 'frc1895', 'frc4242', 'frc4505']",blue,frc1895,frc4242,frc4505,frc4099,frc620,frc2914,No,None,1,1,4,0,24,No,0
2123,f,2022dc320,2022dc320_f1m2,2,1,red,"['frc5804', 'frc623', 'frc1895', 'frc5724', 'frc1719', 'frc2537']",red,frc5804,frc623,frc1895,frc5724,frc1719,frc2537,Yes,Traversal,0,4,2,13,80,Yes,2
2152,sf,2022dc320,2022dc320_sf1m2,2,1,red,"['frc5804', 'frc623', 'frc1895', 'frc8230', 'frc4638', 'frc2186']",red,frc5804,frc623,frc1895,frc8230,frc4638,frc2186,Yes,None,0,2,0,22,92,Yes,2
2003,qm,2022dc305,2022dc305_qm4,4,1,blue,"['frc2988', 'frc8326', 'frc1895', 'frc611', 'frc8622', 'frc2912']",red,frc2988,frc8326,frc1895,frc611,frc8622,frc2912,No,Mid,1,0,1,0,13,No,0
2145,qm,2022dc320,2022dc320_qm4,4,1,blue,"['frc4505', 'frc2537', 'frc5115', 'frc8230', 'frc1915', 'frc1895']",blue,frc8230,frc1915,frc1895,frc4505,frc2537,frc5115,Yes,None,0,0,1,11,31,Yes,2
2147,qm,2022dc320,2022dc320_qm6,6,1,blue,"['frc1895', 'frc6213', 'frc8590', 'frc8230', 'frc2421', 'frc623']",red,frc1895,frc6213,frc8590,frc8230,frc2421,frc623,Yes,Mid,0,1,0,6,28,No,2
1622,qm,2022chcmp,2022chcmp_qm7,7,1,red,"['frc7429', 'frc422', 'frc1885', 'frc1262', 'frc1895', 'frc4286']",blue,frc1262,frc1895,frc4286,frc7429,frc422,frc1885,Yes,Mid,1,1,8,8,48,No,-1
2006,qm,2022dc305,2022dc305_qm7,7,1,blue,"['frc2912', 'frc1895', 'frc620', 'frc2988', 'frc2914', 'frc888']",red,frc2912,frc1895,frc620,frc2988,frc2914,frc888,No,Mid,1,1,1,7,41,No,0
2150,qm,2022dc320,2022dc320_qm9,9,1,blue,"['frc4638', 'frc1915', 'frc2421', 'frc2186', 'frc1895', 'frc623']",blue,frc2186,frc1895,frc623,frc4638,frc1915,frc2421,Yes,Low,0,4,0,11,73,Yes,2
1979,qm,2022dc305,2022dc305_qm12,12,1,red,"['frc3793', 'frc5830', 'frc1895', 'frc8326', 'frc2900', 'frc4505']",red,frc3793,frc5830,frc1895,frc8326,frc2900,frc4505,No,None,0,1,0,3,16,Yes,0
2128,qm,2022dc320,2022dc320_qm13,13,1,blue,"['frc2421', 'frc1895', 'frc2537', 'frc5115', 'frc5804', 'frc7770']",red,frc2421,frc1895,frc2537,frc5115,frc5804,frc7770,Yes,Mid,0,0,0,7,26,No,2
2129,qm,2022dc320,2022dc320_qm14,14,1,red,"['frc4638', 'frc7770', 'frc1895', 'frc6213', 'frc1915', 'frc5804']",red,frc4638,frc7770,frc1895,frc6213,frc1915,frc5804,Yes,Mid,2,2,7,5,53,Yes,2
1982,qm,2022dc305,2022dc305_qm15,15,1,red,"['frc1895', 'frc2914', 'frc8326', 'frc4505', 'frc612', 'frc2988']",red,frc1895,frc2914,frc8326,frc4505,frc612,frc2988,Yes,None,1,3,0,2,34,Yes,0
1984,qm,2022dc305,2022dc305_qm17,17,1,red,"['frc4099', 'frc5830', 'frc2988', 'frc1895', 'frc2849', 'frc888']",blue,frc1895,frc2849,frc888,frc4099,frc5830,frc2988,No,Mid,2,1,11,3,41,No,0
2132,qm,2022dc320,2022dc320_qm17,17,1,red,"['frc5724', 'frc5804', 'frc1895', 'frc6213', 'frc4505', 'frc2186']",red,frc5724,frc5804,frc1895,frc6213,frc4505,frc2186,Yes,Mid,0,4,0,14,71,Yes,2
1565,qm,2022chcmp,2022chcmp_qm18,18,1,blue,"['frc1895', 'frc5724', 'frc7429', 'frc449', 'frc1908', 'frc3136']",red,frc1895,frc5724,frc7429,frc449,frc1908,frc3136,Yes,Mid,0,3,0,27,92,No,-1
1989,qm,2022dc305,2022dc305_qm21,21,1,blue,"['frc1895', 'frc4505', 'frc5830', 'frc836', 'frc612', 'frc2912']",red,frc1895,frc4505,frc5830,frc836,frc612,frc2912,Yes,None,0,2,0,6,26,No,0
2137,qm,2022dc320,2022dc320_qm21,21,1,blue,"['frc2186', 'frc1895', 'frc1719', 'frc2537', 'frc623', 'frc5804']",red,frc2186,frc1895,frc1719,frc2537,frc623,frc5804,Yes,Low,1,1,1,9,47,No,2
