level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
9936,qf,2022nvlv,2022nvlv_qf1m1,1,1,red,"['frc4415', 'frc2383', 'frc8717', 'frc4738', 'frc60', 'frc3009']",red,frc4415,frc2383,frc8717,frc4738,frc60,frc3009,Yes,None,1,6,0,11,92,Yes,4
10020,sf,2022nvlv,2022nvlv_sf1m1,1,1,red,"['frc4415', 'frc2383', 'frc8717', 'frc7426', 'frc5472', 'frc1388']",red,frc4415,frc2383,frc8717,frc7426,frc5472,frc1388,Yes,Mid,1,1,1,12,68,Yes,4
9937,qf,2022nvlv,2022nvlv_qf1m2,2,1,blue,"['frc4415', 'frc2383', 'frc8717', 'frc4738', 'frc60', 'frc3009']",red,frc4415,frc2383,frc8717,frc4738,frc60,frc3009,No,Mid,1,1,3,10,68,No,4
12026,qm,2022roe,2022roe_qm2,2,1,red,"['frc107', 'frc8861', 'frc3636', 'frc5913', 'frc7419', 'frc8717']",blue,frc5913,frc7419,frc8717,frc107,frc8861,frc3636,Yes,None,0,2,0,18,65,No,-1
10021,sf,2022nvlv,2022nvlv_sf1m2,2,1,blue,"['frc4415', 'frc2383', 'frc8717', 'frc7426', 'frc5472', 'frc1388']",red,frc4415,frc2383,frc8717,frc7426,frc5472,frc1388,Yes,None,0,6,0,7,56,No,4
9938,qf,2022nvlv,2022nvlv_qf1m3,3,1,red,"['frc4415', 'frc2383', 'frc8717', 'frc4738', 'frc60', 'frc3009']",red,frc4415,frc2383,frc8717,frc4738,frc60,frc3009,Yes,Mid,0,0,0,0,75,Yes,4
10012,qm,2022nvlv,2022nvlv_qm7,7,1,blue,"['frc7426', 'frc8717', 'frc6415', 'frc987', 'frc5480', 'frc7183']",red,frc7426,frc8717,frc6415,frc987,frc5480,frc7183,Yes,None,2,3,0,10,46,No,4
9949,qm,2022nvlv,2022nvlv_qm12,12,1,red,"['frc5049', 'frc987', 'frc7426', 'frc8717', 'frc498', 'frc6519']",blue,frc8717,frc498,frc6519,frc5049,frc987,frc7426,Yes,Mid,1,2,0,9,48,No,4
9954,qm,2022nvlv,2022nvlv_qm17,17,1,blue,"['frc8717', 'frc7654', 'frc5800', 'frc3009', 'frc5472', 'frc7426']",red,frc8717,frc7654,frc5800,frc3009,frc5472,frc7426,Yes,Mid,4,0,5,0,31,No,4
12023,qm,2022roe,2022roe_qm17,17,1,blue,"['frc4013', 'frc5827', 'frc8853', 'frc4930', 'frc8717', 'frc3539']",blue,frc4930,frc8717,frc3539,frc4013,frc5827,frc8853,Yes,None,1,2,5,19,84,Yes,-1
9963,qm,2022nvlv,2022nvlv_qm25,25,1,red,"['frc5049', 'frc60', 'frc1388', 'frc3009', 'frc4322', 'frc8717']",blue,frc3009,frc4322,frc8717,frc5049,frc60,frc1388,Yes,Mid,2,1,10,1,51,No,4
12035,qm,2022roe,2022roe_qm28,28,1,red,"['frc7407', 'frc3620', 'frc3197', 'frc8717', 'frc5712', 'frc8840']",blue,frc8717,frc5712,frc8840,frc7407,frc3620,frc3197,Yes,Mid,1,4,0,24,101,No,-1
9970,qm,2022nvlv,2022nvlv_qm31,31,1,blue,"['frc8717', 'frc2403', 'frc5049', 'frc5429', 'frc5851', 'frc2383']",red,frc8717,frc2403,frc5049,frc5429,frc5851,frc2383,Yes,Mid,1,3,5,13,55,No,4
9978,qm,2022nvlv,2022nvlv_qm39,39,1,blue,"['frc4415', 'frc6824', 'frc6825', 'frc987', 'frc5472', 'frc8717']",blue,frc987,frc5472,frc8717,frc4415,frc6824,frc6825,Yes,Low,2,5,2,17,104,Yes,4
12052,qm,2022roe,2022roe_qm43,43,1,blue,"['frc4775', 'frc7457', 'frc8717', 'frc3534', 'frc4451', 'frc4795']",red,frc4775,frc7457,frc8717,frc3534,frc4451,frc4795,Yes,Low,0,7,1,20,85,No,-1
