level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
10122,qf,2022nyli2,2022nyli2_qf2m1,1,2,red,"['frc3950', 'frc2791', 'frc333', 'frc263', 'frc3171', 'frc7444']",red,frc3950,frc2791,frc333,frc263,frc3171,frc7444,Yes,Mid,0,4,0,16,66,Yes,3
10129,qm,2022nyli2,2022nyli2_qm1,1,1,blue,"['frc871', 'frc1554', 'frc2869', 'frc2791', 'frc1796', 'frc2601']",blue,frc2791,frc1796,frc2601,frc871,frc1554,frc2869,Yes,Mid,1,1,3,23,90,Yes,3
10397,qf,2022nytr,2022nytr_qf4m1,1,4,red,"['frc2791', 'frc20', 'frc6402', 'frc287', 'frc709', 'frc4458']",red,frc2791,frc20,frc6402,frc287,frc709,frc4458,Yes,Low,0,2,4,15,77,Yes,1
10470,sf,2022nytr,2022nytr_sf2m1,1,2,red,"['frc5484', 'frc2614', 'frc2601', 'frc2791', 'frc20', 'frc6402']",blue,frc2791,frc20,frc6402,frc5484,frc2614,frc2601,Yes,None,1,3,3,8,60,No,1
10198,sf,2022nyli2,2022nyli2_sf1m1,1,1,red,"['frc870', 'frc694', 'frc2869', 'frc3950', 'frc2791', 'frc333']",blue,frc3950,frc2791,frc333,frc870,frc694,frc2869,Yes,Mid,0,3,0,18,87,No,3
10410,qm,2022nytr,2022nytr_qm2,2,1,blue,"['frc5881', 'frc287', 'frc2791', 'frc5484', 'frc2095', 'frc6823']",red,frc5881,frc287,frc2791,frc5484,frc2095,frc6823,Yes,None,0,2,0,9,28,No,1
10398,qf,2022nytr,2022nytr_qf4m2,2,4,red,"['frc2791', 'frc20', 'frc6402', 'frc287', 'frc709', 'frc4458']",red,frc2791,frc20,frc6402,frc287,frc709,frc4458,Yes,Mid,0,3,18,13,93,Yes,1
10199,sf,2022nyli2,2022nyli2_sf1m2,2,1,red,"['frc870', 'frc694', 'frc2869', 'frc3950', 'frc2791', 'frc333']",blue,frc3950,frc2791,frc333,frc870,frc694,frc2869,Yes,Mid,1,2,0,11,71,No,3
10123,qf,2022nyli2,2022nyli2_qf2m2,2,2,red,"['frc3950', 'frc2791', 'frc333', 'frc263', 'frc3171', 'frc7444']",red,frc3950,frc2791,frc333,frc263,frc3171,frc7444,Yes,Mid,0,4,1,20,88,Yes,3
10471,sf,2022nytr,2022nytr_sf2m2,2,2,red,"['frc5484', 'frc2614', 'frc2601', 'frc2791', 'frc20', 'frc6402']",blue,frc2791,frc20,frc6402,frc5484,frc2614,frc2601,Yes,Mid,0,2,2,15,67,No,1
10466,qm,2022nytr,2022nytr_qm8,8,1,red,"['frc20', 'frc3015', 'frc1676', 'frc6402', 'frc5484', 'frc2791']",blue,frc6402,frc5484,frc2791,frc20,frc3015,frc1676,No,None,0,2,0,18,63,No,1
10133,qm,2022nyli2,2022nyli2_qm13,13,1,red,"['frc7717', 'frc2791', 'frc287', 'frc564', 'frc353', 'frc5736']",red,frc7717,frc2791,frc287,frc564,frc353,frc5736,Yes,None,0,3,2,14,69,Yes,3
10407,qm,2022nytr,2022nytr_qm17,17,1,blue,"['frc6621', 'frc4122', 'frc810', 'frc2791', 'frc2234', 'frc145']",blue,frc2791,frc2234,frc145,frc6621,frc4122,frc810,Yes,Mid,0,2,4,10,63,Yes,1
10141,qm,2022nyli2,2022nyli2_qm20,20,1,blue,"['frc7318', 'frc263', 'frc2872', 'frc5298', 'frc3171', 'frc2791']",blue,frc5298,frc3171,frc2791,frc7318,frc263,frc2872,Yes,Mid,0,3,0,19,72,Yes,3
10147,qm,2022nyli2,2022nyli2_qm26,26,1,,"['frc1751', 'frc2791', 'frc271', 'frc533', 'frc7318', 'frc8739']",red,frc1751,frc2791,frc271,frc533,frc7318,frc8739,Yes,Mid,0,1,1,9,33,Tie,3
10419,qm,2022nytr,2022nytr_qm28,28,1,,"['frc2095', 'frc2791', 'frc7030', 'frc2607', 'frc229', 'frc3044']",red,frc2095,frc2791,frc7030,frc2607,frc229,frc3044,No,None,1,0,1,17,41,Tie,1
10154,qm,2022nyli2,2022nyli2_qm32,32,1,red,"['frc333', 'frc2791', 'frc1468', 'frc6024', 'frc287', 'frc527']",red,frc333,frc2791,frc1468,frc6024,frc287,frc527,Yes,Mid,0,2,0,21,78,Yes,3
10424,qm,2022nytr,2022nytr_qm32,32,1,red,"['frc6621', 'frc1493', 'frc2791', 'frc6300', 'frc5881', 'frc3314']",red,frc6621,frc1493,frc2791,frc6300,frc5881,frc3314,Yes,Mid,0,5,0,17,78,Yes,1
10158,qm,2022nyli2,2022nyli2_qm36,36,1,red,"['frc564', 'frc694', 'frc2791', 'frc601', 'frc7718', 'frc333']",red,frc564,frc694,frc2791,frc601,frc7718,frc333,Yes,Low,1,4,3,18,86,Yes,3
10433,qm,2022nytr,2022nytr_qm40,40,1,blue,"['frc3314', 'frc263', 'frc250', 'frc6401', 'frc2791', 'frc2601']",blue,frc6401,frc2791,frc2601,frc3314,frc263,frc250,Yes,None,1,1,2,15,58,Yes,1
10167,qm,2022nyli2,2022nyli2_qm44,44,1,red,"['frc2791', 'frc353', 'frc870', 'frc1468', 'frc5298', 'frc6969']",red,frc2791,frc353,frc870,frc1468,frc5298,frc6969,Yes,High,0,6,0,31,114,Yes,3
10440,qm,2022nytr,2022nytr_qm47,47,1,red,"['frc333', 'frc2791', 'frc709', 'frc6648', 'frc6401', 'frc2095']",red,frc333,frc2791,frc709,frc6648,frc6401,frc2095,Yes,Mid,1,2,15,0,58,Yes,1
10177,qm,2022nyli2,2022nyli2_qm53,53,1,red,"['frc527', 'frc5099', 'frc7717', 'frc2791', 'frc6024', 'frc6969']",blue,frc2791,frc6024,frc6969,frc527,frc5099,frc7717,Yes,Mid,0,2,0,9,40,No,3
10449,qm,2022nytr,2022nytr_qm55,55,1,red,"['frc2791', 'frc1860', 'frc6806', 'frc5149', 'frc709', 'frc28']",red,frc2791,frc1860,frc6806,frc5149,frc709,frc28,Yes,None,0,4,4,22,82,Yes,1
10181,qm,2022nyli2,2022nyli2_qm57,57,1,blue,"['frc3171', 'frc7759', 'frc884', 'frc3950', 'frc2791', 'frc5099']",blue,frc3950,frc2791,frc5099,frc3171,frc7759,frc884,Yes,Low,1,4,1,16,82,Yes,3
10457,qm,2022nytr,2022nytr_qm62,62,1,blue,"['frc3950', 'frc5016', 'frc1493', 'frc2791', 'frc6823', 'frc1676']",blue,frc2791,frc6823,frc1676,frc3950,frc5016,frc1493,Yes,Mid,0,5,2,14,68,Yes,1
10190,qm,2022nyli2,2022nyli2_qm65,65,1,red,"['frc2601', 'frc7444', 'frc870', 'frc6806', 'frc426', 'frc2791']",blue,frc6806,frc426,frc2791,frc2601,frc7444,frc870,Yes,None,3,1,8,8,60,No,3
10463,qm,2022nytr,2022nytr_qm68,68,1,red,"['frc287', 'frc806', 'frc2614', 'frc4458', 'frc2791', 'frc6300']",blue,frc4458,frc2791,frc6300,frc287,frc806,frc2614,Yes,Mid,0,2,7,4,39,No,1
