level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
11442,qf,2022paben,2022paben_qf3m1,1,3,red,"['frc316', 'frc2016', 'frc7414', 'frc321', 'frc486', 'frc7045']",blue,frc321,frc486,frc7045,frc316,frc2016,frc7414,Yes,Traversal,0,3,0,10,70,No,4
9591,qm,2022njbri,2022njbri_qm1,1,1,blue,"['frc303', 'frc5624', 'frc1672', 'frc41', 'frc7045', 'frc5992']",blue,frc41,frc7045,frc5992,frc303,frc5624,frc1672,Yes,None,0,0,0,0,31,Yes,0
9584,qf,2022njbri,2022njbri_qf2m1,1,2,red,"['frc75', 'frc3142', 'frc2577', 'frc56', 'frc7045', 'frc1811']",blue,frc56,frc7045,frc1811,frc75,frc3142,frc2577,Yes,Mid,2,1,6,4,55,No,0
8307,qm,2022mrcmp,2022mrcmp_qm2,2,1,red,"['frc41', 'frc1218', 'frc4342', 'frc7045', 'frc1647', 'frc1089']",blue,frc7045,frc1647,frc1089,frc41,frc1218,frc4342,Yes,Traversal,1,5,1,16,86,No,-1
9585,qf,2022njbri,2022njbri_qf2m2,2,2,red,"['frc75', 'frc3142', 'frc2577', 'frc56', 'frc7045', 'frc1811']",blue,frc56,frc7045,frc1811,frc75,frc3142,frc2577,Yes,None,4,0,1,2,25,No,0
11443,qf,2022paben,2022paben_qf3m2,2,3,red,"['frc316', 'frc2016', 'frc7414', 'frc321', 'frc486', 'frc7045']",blue,frc321,frc486,frc7045,frc316,frc2016,frc7414,Yes,Traversal,1,3,0,3,60,No,4
11479,qm,2022paben,2022paben_qm4,4,1,blue,"['frc1712', 'frc6327', 'frc4653', 'frc7045', 'frc316', 'frc6921']",blue,frc7045,frc316,frc6921,frc1712,frc6327,frc4653,Yes,Traversal,0,3,0,5,58,Yes,4
11502,qm,2022paben,2022paben_qm8,8,1,red,"['frc1391', 'frc6327', 'frc4285', 'frc2016', 'frc5624', 'frc7045']",blue,frc2016,frc5624,frc7045,frc1391,frc6327,frc4285,Yes,Traversal,0,3,0,12,65,No,4
9592,qm,2022njbri,2022njbri_qm10,10,1,red,"['frc3142', 'frc203', 'frc1676', 'frc8714', 'frc7045', 'frc714']",blue,frc8714,frc7045,frc714,frc3142,frc203,frc1676,Yes,None,0,0,0,0,11,No,0
11448,qm,2022paben,2022paben_qm11,11,1,red,"['frc2554', 'frc7045', 'frc5181', 'frc8706', 'frc4653', 'frc1626']",red,frc2554,frc7045,frc5181,frc8706,frc4653,frc1626,Yes,Traversal,1,1,1,5,48,Yes,4
8302,qm,2022mrcmp,2022mrcmp_qm15,15,1,red,"['frc2577', 'frc7045', 'frc1391', 'frc2607', 'frc433', 'frc486']",red,frc2577,frc7045,frc1391,frc2607,frc433,frc486,Yes,Traversal,1,3,2,9,70,Yes,-1
11452,qm,2022paben,2022paben_qm15,15,1,blue,"['frc4652', 'frc321', 'frc7045', 'frc7414', 'frc433', 'frc1626']",red,frc4652,frc321,frc7045,frc7414,frc433,frc1626,Yes,None,1,2,0,1,22,No,4
9600,qm,2022njbri,2022njbri_qm18,18,1,red,"['frc3142', 'frc8628', 'frc7045', 'frc8130', 'frc3515', 'frc555']",red,frc3142,frc8628,frc7045,frc8130,frc3515,frc555,Yes,None,0,2,0,14,46,Yes,0
9605,qm,2022njbri,2022njbri_qm22,22,1,red,"['frc7045', 'frc25', 'frc3515', 'frc1626', 'frc7587', 'frc8630']",red,frc7045,frc25,frc3515,frc1626,frc7587,frc8630,Yes,None,0,0,0,7,36,Yes,0
11462,qm,2022paben,2022paben_qm24,24,1,red,"['frc2554', 'frc4285', 'frc7045', 'frc433', 'frc5624', 'frc1712']",red,frc2554,frc4285,frc7045,frc433,frc5624,frc1712,Yes,None,0,2,2,2,39,Yes,4
8312,qm,2022mrcmp,2022mrcmp_qm24,24,1,blue,"['frc222', 'frc1257', 'frc7045', 'frc1676', 'frc1811', 'frc2539']",red,frc222,frc1257,frc7045,frc1676,frc1811,frc2539,Yes,Traversal,2,0,8,6,65,No,-1
9609,qm,2022njbri,2022njbri_qm26,26,1,blue,"['frc3515', 'frc1257', 'frc6897', 'frc7045', 'frc203', 'frc1672']",blue,frc7045,frc203,frc1672,frc3515,frc1257,frc6897,Yes,None,0,1,0,12,44,Yes,0
11465,qm,2022paben,2022paben_qm27,27,1,blue,"['frc1712', 'frc7045', 'frc8706', 'frc2554', 'frc4652', 'frc2607']",red,frc1712,frc7045,frc8706,frc2554,frc4652,frc2607,Yes,Mid,1,1,1,2,27,No,4
8320,qm,2022mrcmp,2022mrcmp_qm31,31,1,red,"['frc1257', 'frc56', 'frc1391', 'frc7045', 'frc5181', 'frc1672']",blue,frc7045,frc5181,frc1672,frc1257,frc56,frc1391,Yes,Traversal,0,0,3,3,51,No,-1
11471,qm,2022paben,2022paben_qm32,32,1,blue,"['frc7045', 'frc2559', 'frc8707', 'frc7587', 'frc5181', 'frc486']",red,frc7045,frc2559,frc8707,frc7587,frc5181,frc486,Yes,None,2,0,1,2,40,No,4
9618,qm,2022njbri,2022njbri_qm34,34,1,blue,"['frc1923', 'frc714', 'frc2600', 'frc555', 'frc7045', 'frc5490']",blue,frc555,frc7045,frc5490,frc1923,frc714,frc2600,Yes,Mid,1,1,17,0,39,Yes,0
11477,qm,2022paben,2022paben_qm38,38,1,red,"['frc5181', 'frc2016', 'frc2191', 'frc7045', 'frc7414', 'frc4575']",blue,frc7045,frc7414,frc4575,frc5181,frc2016,frc2191,Yes,Traversal,0,1,2,6,51,No,4
9622,qm,2022njbri,2022njbri_qm38,38,1,red,"['frc7045', 'frc8588', 'frc5732', 'frc1257', 'frc75', 'frc5490']",red,frc7045,frc8588,frc5732,frc1257,frc75,frc5490,Yes,Mid,1,2,0,7,50,Yes,0
8331,qm,2022mrcmp,2022mrcmp_qm41,41,1,blue,"['frc2607', 'frc7045', 'frc75', 'frc484', 'frc219', 'frc222']",red,frc2607,frc7045,frc75,frc484,frc219,frc222,Yes,Traversal,0,2,2,21,73,No,-1
11484,qm,2022paben,2022paben_qm44,44,1,red,"['frc7045', 'frc1807', 'frc1712', 'frc7414', 'frc7587', 'frc2607']",red,frc7045,frc1807,frc1712,frc7414,frc7587,frc2607,Yes,Low,0,3,2,16,81,Yes,4
9632,qm,2022njbri,2022njbri_qm47,47,1,red,"['frc3637', 'frc7045', 'frc56', 'frc1923', 'frc8588', 'frc8714']",red,frc3637,frc7045,frc56,frc1923,frc8588,frc8714,Yes,Traversal,0,2,3,1,44,Yes,0
11487,qm,2022paben,2022paben_qm47,47,1,blue,"['frc486', 'frc433', 'frc7045', 'frc2554', 'frc2016', 'frc2559']",red,frc486,frc433,frc7045,frc2554,frc2016,frc2559,Yes,None,1,2,3,1,27,No,4
11493,qm,2022paben,2022paben_qm52,52,1,red,"['frc1807', 'frc7587', 'frc1391', 'frc2559', 'frc7045', 'frc6327']",blue,frc2559,frc7045,frc6327,frc1807,frc7587,frc1391,Yes,Traversal,1,2,1,7,50,No,4
9639,qm,2022njbri,2022njbri_qm53,53,1,blue,"['frc1811', 'frc8588', 'frc5624', 'frc2600', 'frc7587', 'frc7045']",blue,frc2600,frc7587,frc7045,frc1811,frc8588,frc5624,Yes,Mid,2,1,4,2,34,Yes,0
8344,qm,2022mrcmp,2022mrcmp_qm53,53,1,blue,"['frc1647', 'frc2016', 'frc25', 'frc834', 'frc7045', 'frc1168']",blue,frc834,frc7045,frc1168,frc1647,frc2016,frc25,Yes,Traversal,1,1,1,22,86,Yes,-1
11498,qm,2022paben,2022paben_qm57,57,1,blue,"['frc4637', 'frc7414', 'frc5624', 'frc4653', 'frc7045', 'frc7587']",blue,frc4653,frc7045,frc7587,frc4637,frc7414,frc5624,Yes,Traversal,1,2,8,4,57,Yes,4
9645,qm,2022njbri,2022njbri_qm59,59,1,red,"['frc1257', 'frc5992', 'frc4285', 'frc5624', 'frc8630', 'frc7045']",blue,frc5624,frc8630,frc7045,frc1257,frc5992,frc4285,Yes,Mid,0,0,0,1,14,No,0
8356,qm,2022mrcmp,2022mrcmp_qm64,64,1,red,"['frc7045', 'frc2590', 'frc1923', 'frc7110', 'frc2191', 'frc103']",red,frc7045,frc2590,frc1923,frc7110,frc2191,frc103,Yes,Traversal,0,6,0,26,122,Yes,-1
9652,qm,2022njbri,2022njbri_qm65,65,1,blue,"['frc8714', 'frc4285', 'frc41', 'frc7045', 'frc8130', 'frc2495']",blue,frc7045,frc8130,frc2495,frc8714,frc4285,frc41,Yes,Mid,1,2,0,9,46,Yes,0
9660,qm,2022njbri,2022njbri_qm72,72,1,red,"['frc1676', 'frc1923', 'frc7045', 'frc2577', 'frc3637', 'frc1672']",red,frc1676,frc1923,frc7045,frc2577,frc3637,frc1672,Yes,None,1,3,14,13,76,Yes,0
8368,qm,2022mrcmp,2022mrcmp_qm75,75,1,red,"['frc316', 'frc5407', 'frc1640', 'frc2191', 'frc7045', 'frc102']",blue,frc2191,frc7045,frc102,frc316,frc5407,frc1640,Yes,Traversal,0,2,0,9,59,No,-1
