level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
2,qf,2022alhu,2022alhu_qf1m1,1,1,red,"['frc59', 'frc364', 'frc3959', 'frc801', 'frc5410', 'frc2556']",blue,frc801,frc5410,frc2556,frc59,frc364,frc3959,Yes,High,0,4,1,13,80,No,-1
3,qf,2022alhu,2022alhu_qf1m2,2,1,red,"['frc59', 'frc364', 'frc3959', 'frc801', 'frc5410', 'frc2556']",blue,frc801,frc5410,frc2556,frc59,frc364,frc3959,Yes,None,0,5,0,9,77,No,-1
2252,qm,2022flor,2022flor_qm2,2,1,red,"['frc4118', 'frc744', 'frc4024', 'frc801', 'frc1056', 'frc79']",blue,frc801,frc1056,frc79,frc4118,frc744,frc4024,No,None,0,0,11,3,19,No,1
43,qm,2022alhu,2022alhu_qm4,4,1,red,"['frc3653', 'frc7111', 'frc1102', 'frc6937', 'frc801', 'frc2556']",blue,frc6937,frc801,frc2556,frc3653,frc7111,frc1102,Yes,Traversal,0,2,0,7,41,No,-1
2246,qm,2022flor,2022flor_qm14,14,1,blue,"['frc3242', 'frc801', 'frc1797', 'frc86', 'frc4481', 'frc2383']",red,frc3242,frc801,frc1797,frc86,frc4481,frc2383,No,None,0,0,0,3,10,No,1
17,qm,2022alhu,2022alhu_qm16,16,1,blue,"['frc325', 'frc5005', 'frc7446', 'frc3814', 'frc3490', 'frc801']",blue,frc3814,frc3490,frc801,frc325,frc5005,frc7446,Yes,Traversal,0,2,3,2,55,Yes,-1
25,qm,2022alhu,2022alhu_qm23,23,1,red,"['frc2010', 'frc6936', 'frc1710', 'frc1038', 'frc801', 'frc3959']",blue,frc1038,frc801,frc3959,frc2010,frc6936,frc1710,Yes,Traversal,1,1,1,14,62,No,-1
2259,qm,2022flor,2022flor_qm26,26,1,red,"['frc3937', 'frc801', 'frc1523', 'frc8841', 'frc4622', 'frc6527']",red,frc3937,frc801,frc1523,frc8841,frc4622,frc6527,Yes,Mid,0,1,2,8,46,Yes,1
33,qm,2022alhu,2022alhu_qm30,30,1,red,"['frc801', 'frc141', 'frc364', 'frc2973', 'frc120', 'frc144']",red,frc801,frc141,frc364,frc2973,frc120,frc144,Yes,Traversal,0,7,0,25,118,Yes,-1
2268,qm,2022flor,2022flor_qm34,34,1,red,"['frc5472', 'frc16', 'frc801', 'frc8753', 'frc1156', 'frc3627']",red,frc5472,frc16,frc801,frc8753,frc1156,frc3627,Yes,None,1,1,1,16,65,Yes,1
41,qm,2022alhu,2022alhu_qm38,38,1,blue,"['frc8413', 'frc8773', 'frc801', 'frc8897', 'frc1038', 'frc4013']",red,frc8413,frc8773,frc801,frc8897,frc1038,frc4013,Yes,High,0,0,0,7,34,No,-1
2277,qm,2022flor,2022flor_qm42,42,1,red,"['frc179', 'frc5472', 'frc3653', 'frc801', 'frc6968', 'frc4065']",blue,frc801,frc6968,frc4065,frc179,frc5472,frc3653,Yes,None,2,0,6,2,22,No,1
48,qm,2022alhu,2022alhu_qm44,44,1,blue,"['frc8838', 'frc6366', 'frc3814', 'frc6823', 'frc5484', 'frc801']",blue,frc6823,frc5484,frc801,frc8838,frc6366,frc3814,Yes,Traversal,0,4,0,29,114,Yes,-1
2283,qm,2022flor,2022flor_qm48,48,1,blue,"['frc6968', 'frc8057', 'frc6722', 'frc4013', 'frc6322', 'frc801']",blue,frc4013,frc6322,frc801,frc6968,frc8057,frc6722,No,Mid,0,0,1,3,15,Yes,1
55,qm,2022alhu,2022alhu_qm50,50,1,blue,"['frc5410', 'frc3490', 'frc8773', 'frc6366', 'frc801', 'frc3465']",blue,frc6366,frc801,frc3465,frc5410,frc3490,frc8773,Yes,Traversal,0,0,1,7,57,Yes,-1
64,qm,2022alhu,2022alhu_qm59,59,1,red,"['frc801', 'frc8823', 'frc108', 'frc141', 'frc3843', 'frc547']",red,frc801,frc8823,frc108,frc141,frc3843,frc547,Yes,Traversal,1,2,1,9,65,Yes,-1
2302,qm,2022flor,2022flor_qm65,65,1,red,"['frc233', 'frc5557', 'frc6473', 'frc8775', 'frc801', 'frc1884']",blue,frc8775,frc801,frc1884,frc233,frc5557,frc6473,No,None,0,1,0,7,26,No,1
80,qm,2022alhu,2022alhu_qm73,73,1,red,"['frc34', 'frc59', 'frc2010', 'frc801', 'frc2973', 'frc1102']",blue,frc801,frc2973,frc1102,frc34,frc59,frc2010,Yes,Traversal,0,4,0,8,74,No,-1
2312,qm,2022flor,2022flor_qm74,74,1,red,"['frc5557', 'frc59', 'frc801', 'frc3164', 'frc6743', 'frc7611']",red,frc5557,frc59,frc801,frc3164,frc6743,frc7611,No,None,1,0,1,5,39,Yes,1
2319,qm,2022flor,2022flor_qm80,80,1,red,"['frc801', 'frc3627', 'frc8791', 'frc7431', 'frc59', 'frc1902']",red,frc801,frc3627,frc8791,frc7431,frc59,frc1902,Yes,Mid,1,0,7,1,38,Yes,1
90,qm,2022alhu,2022alhu_qm82,82,1,blue,"['frc801', 'frc5045', 'frc4764', 'frc6823', 'frc8413', 'frc6652']",red,frc801,frc5045,frc4764,frc6823,frc8413,frc6652,Yes,Traversal,0,0,11,5,48,No,-1
