level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
14030,qf,2022wasam,2022wasam_qf2m1,1,2,blue,"['frc2928', 'frc4180', 'frc4915', 'frc1778', 'frc4512', 'frc3681']",blue,frc1778,frc4512,frc3681,frc2928,frc4180,frc4915,Yes,None,0,4,0,21,70,Yes,2
14113,qm,2022wasno,2022wasno_qm1,1,1,red,"['frc8051', 'frc1778', 'frc2980', 'frc3219', 'frc4205', 'frc2903']",red,frc8051,frc1778,frc2980,frc3219,frc4205,frc2903,No,Mid,0,0,16,6,44,Yes,0
14108,qf,2022wasno,2022wasno_qf3m1,1,3,red,"['frc2930', 'frc7461', 'frc2928', 'frc1778', 'frc2412', 'frc4173']",blue,frc1778,frc2412,frc4173,frc2930,frc7461,frc2928,Yes,None,2,1,2,15,52,No,0
14098,sf,2022wasam,2022wasam_sf1m1,1,1,red,"['frc5827', 'frc4911', 'frc1294', 'frc1778', 'frc4512', 'frc3681']",blue,frc1778,frc4512,frc3681,frc5827,frc4911,frc1294,Yes,Mid,0,1,2,18,64,No,2
14109,qf,2022wasno,2022wasno_qf3m2,2,3,blue,"['frc2930', 'frc7461', 'frc2928', 'frc1778', 'frc2412', 'frc4173']",blue,frc1778,frc2412,frc4173,frc2930,frc7461,frc2928,Yes,None,2,3,1,21,85,Yes,0
14099,sf,2022wasam,2022wasam_sf1m2,2,1,red,"['frc5827', 'frc4911', 'frc1294', 'frc1778', 'frc4512', 'frc3681']",blue,frc1778,frc4512,frc3681,frc5827,frc4911,frc1294,Yes,Mid,0,6,0,22,88,No,2
14031,qf,2022wasam,2022wasam_qf2m2,2,2,blue,"['frc2928', 'frc4180', 'frc4915', 'frc1778', 'frc4512', 'frc3681']",blue,frc1778,frc4512,frc3681,frc2928,frc4180,frc4915,Yes,Mid,0,3,0,17,64,Yes,2
14058,qm,2022wasam,2022wasam_qm3,3,1,red,"['frc3681', 'frc1983', 'frc1778', 'frc4682', 'frc1899', 'frc4180']",red,frc3681,frc1983,frc1778,frc4682,frc1899,frc4180,No,Mid,0,2,1,9,49,Yes,2
14110,qf,2022wasno,2022wasno_qf3m3,3,3,red,"['frc2930', 'frc7461', 'frc2928', 'frc1778', 'frc2412', 'frc4173']",blue,frc1778,frc2412,frc4173,frc2930,frc7461,frc2928,Yes,None,2,1,0,7,40,No,0
14091,qm,2022wasam,2022wasam_qm6,6,1,red,"['frc4180', 'frc1778', 'frc488', 'frc4579', 'frc3786', 'frc3681']",red,frc4180,frc1778,frc488,frc4579,frc3786,frc3681,Yes,None,1,0,7,12,60,Yes,2
14178,qm,2022wasno,2022wasno_qm9,9,1,red,"['frc4089', 'frc4682', 'frc2522', 'frc1778', 'frc8248', 'frc7627']",blue,frc1778,frc8248,frc7627,frc4089,frc4682,frc2522,No,Mid,1,0,5,3,23,No,0
14038,qm,2022wasam,2022wasam_qm11,11,1,red,"['frc1899', 'frc3681', 'frc2929', 'frc1318', 'frc1778', 'frc4579']",blue,frc1318,frc1778,frc4579,frc1899,frc3681,frc2929,No,None,0,0,6,8,24,No,2
14117,qm,2022wasno,2022wasno_qm13,13,1,red,"['frc2930', 'frc8051', 'frc4911', 'frc1778', 'frc1899', 'frc4309']",blue,frc1778,frc1899,frc4309,frc2930,frc8051,frc4911,No,Traversal,0,2,0,4,35,No,0
14043,qm,2022wasam,2022wasam_qm16,16,1,blue,"['frc4682', 'frc2412', 'frc2929', 'frc1778', 'frc1318', 'frc7627']",blue,frc1778,frc1318,frc7627,frc4682,frc2412,frc2929,Yes,Mid,1,1,2,5,44,Yes,2
14122,qm,2022wasno,2022wasno_qm18,18,1,red,"['frc1778', 'frc2910', 'frc4512', 'frc2980', 'frc6350', 'frc492']",red,frc1778,frc2910,frc4512,frc2980,frc6350,frc492,No,Mid,0,3,0,24,78,Yes,0
14050,qm,2022wasam,2022wasam_qm22,22,1,blue,"['frc3218', 'frc3049', 'frc1778', 'frc4180', 'frc7627', 'frc492']",red,frc3218,frc3049,frc1778,frc4180,frc7627,frc492,No,None,1,2,7,8,52,No,2
14132,qm,2022wasno,2022wasno_qm27,27,1,red,"['frc2412', 'frc4911', 'frc5941', 'frc4173', 'frc492', 'frc1778']",blue,frc4173,frc492,frc1778,frc2412,frc4911,frc5941,No,None,1,2,3,14,61,No,0
