level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
6138,qm,2022mikng,2022mikng_qm2,2,1,blue,"['frc6569', 'frc7768', 'frc7826', 'frc8382', 'frc4988', 'frc5706']",red,frc6569,frc7768,frc7826,frc8382,frc4988,frc5706,Yes,High,0,0,3,1,23,No,-1
5583,qm,2022miesc,2022miesc_qm6,6,1,blue,"['frc7826', 'frc6558', 'frc5547', 'frc6569', 'frc2586', 'frc5706']",red,frc7826,frc6558,frc5547,frc6569,frc2586,frc5706,No,None,0,1,0,1,10,No,2
6192,qm,2022mikng,2022mikng_qm7,7,1,red,"['frc5114', 'frc7826', 'frc6077', 'frc7782', 'frc4392', 'frc6581']",red,frc5114,frc7826,frc6077,frc7782,frc4392,frc6581,Yes,None,0,7,3,14,94,Yes,-1
5532,qm,2022miesc,2022miesc_qm13,13,1,blue,"['frc7826', 'frc5486', 'frc3602', 'frc4391', 'frc2586', 'frc5709']",red,frc7826,frc5486,frc3602,frc4391,frc2586,frc5709,No,None,1,0,1,4,19,No,2
6135,qm,2022mikng,2022mikng_qm17,17,1,blue,"['frc6098', 'frc7826', 'frc4715', 'frc4375', 'frc6569', 'frc6345']",red,frc6098,frc7826,frc4715,frc4375,frc6569,frc6345,Yes,None,0,1,2,0,12,No,-1
5537,qm,2022miesc,2022miesc_qm18,18,1,red,"['frc7154', 'frc7823', 'frc5486', 'frc5878', 'frc6079', 'frc7826']",blue,frc5878,frc6079,frc7826,frc7154,frc7823,frc5486,No,None,1,0,1,1,5,No,2
6141,qm,2022mikng,2022mikng_qm22,22,1,red,"['frc3602', 'frc6345', 'frc8382', 'frc7826', 'frc4827', 'frc6113']",blue,frc7826,frc4827,frc6113,frc3602,frc6345,frc8382,Yes,None,0,0,8,6,30,No,-1
5543,qm,2022miesc,2022miesc_qm23,23,1,red,"['frc5314', 'frc8425', 'frc6345', 'frc7154', 'frc5702', 'frc7826']",blue,frc7154,frc5702,frc7826,frc5314,frc8425,frc6345,No,None,0,0,0,5,24,No,2
6147,qm,2022mikng,2022mikng_qm28,28,1,red,"['frc6079', 'frc8382', 'frc4835', 'frc7826', 'frc5878', 'frc7713']",blue,frc7826,frc5878,frc7713,frc6079,frc8382,frc4835,Yes,None,1,0,4,0,18,No,-1
5548,qm,2022miesc,2022miesc_qm28,28,1,red,"['frc5505', 'frc904', 'frc7154', 'frc7826', 'frc4835', 'frc4827']",blue,frc7826,frc4835,frc4827,frc5505,frc904,frc7154,No,None,2,0,0,0,14,No,2
