level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
4081,qf,2022isde4,2022isde4_qf4m1,1,4,red,"['frc3388', 'frc4338', 'frc8175', 'frc3835', 'frc5990', 'frc1943']",red,frc3388,frc4338,frc8175,frc3835,frc5990,frc1943,Yes,Mid,2,2,11,6,62,Yes,3
3931,qf,2022isde2,2022isde2_qf2m1,1,2,red,"['frc5135', 'frc4586', 'frc6230', 'frc4744', 'frc3388', 'frc5635']",blue,frc4744,frc3388,frc5635,frc5135,frc4586,frc6230,Yes,None,0,2,0,5,22,No,1
4082,qf,2022isde4,2022isde4_qf4m2,2,4,blue,"['frc3388', 'frc4338', 'frc8175', 'frc3835', 'frc5990', 'frc1943']",red,frc3388,frc4338,frc8175,frc3835,frc5990,frc1943,Yes,None,2,0,8,4,32,No,3
3950,qm,2022isde2,2022isde2_qm2,2,1,blue,"['frc3835', 'frc7039', 'frc3388', 'frc5928', 'frc1657', 'frc2630']",red,frc3835,frc7039,frc3388,frc5928,frc1657,frc2630,No,Mid,0,0,2,6,30,No,1
3932,qf,2022isde2,2022isde2_qf2m2,2,2,blue,"['frc5135', 'frc4586', 'frc6230', 'frc4744', 'frc3388', 'frc5635']",blue,frc4744,frc3388,frc5635,frc5135,frc4586,frc6230,Yes,Mid,1,3,7,3,53,Yes,1
4083,qf,2022isde4,2022isde4_qf4m3,3,4,blue,"['frc3388', 'frc4338', 'frc8175', 'frc3835', 'frc5990', 'frc1943']",red,frc3388,frc4338,frc8175,frc3835,frc5990,frc1943,Yes,Mid,2,1,5,6,41,No,3
3793,qm,2022iscmp,2022iscmp_qm3,3,1,blue,"['frc1580', 'frc4590', 'frc3388', 'frc7039', 'frc4338', 'frc1657']",red,frc1580,frc4590,frc3388,frc7039,frc4338,frc1657,Yes,None,1,3,0,12,59,No,3
3933,qf,2022isde2,2022isde2_qf2m3,3,2,red,"['frc5135', 'frc4586', 'frc6230', 'frc4744', 'frc3388', 'frc5635']",blue,frc4744,frc3388,frc5635,frc5135,frc4586,frc6230,Yes,None,2,0,5,1,29,No,1
4128,qm,2022isde4,2022isde4_qm5,5,1,blue,"['frc4320', 'frc4338', 'frc4744', 'frc5554', 'frc3388', 'frc3835']",blue,frc5554,frc3388,frc3835,frc4320,frc4338,frc4744,Yes,None,0,1,0,10,36,Yes,3
4140,qm,2022isde4,2022isde4_qm8,8,1,blue,"['frc4744', 'frc8223', 'frc4320', 'frc1580', 'frc3388', 'frc7067']",blue,frc1580,frc3388,frc7067,frc4744,frc8223,frc4320,Yes,None,1,0,16,10,59,Yes,3
