level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
4310,f,2022mabos,2022mabos_f1m1,1,1,red,"['frc6328', 'frc125', 'frc5563', 'frc95', 'frc5687', 'frc2423']",red,frc6328,frc125,frc5563,frc95,frc5687,frc2423,Yes,None,0,7,0,28,117,Yes,3
4631,sf,2022marea,2022marea_sf1m1,1,1,red,"['frc125', 'frc5813', 'frc5563', 'frc319', 'frc4905', 'frc4761']",red,frc125,frc5813,frc5563,frc319,frc4905,frc4761,Yes,Traversal,1,2,0,25,108,Yes,2
4542,f,2022marea,2022marea_f1m1,1,1,blue,"['frc125', 'frc5813', 'frc5563', 'frc1153', 'frc88', 'frc1474']",red,frc125,frc5813,frc5563,frc1153,frc88,frc1474,Yes,Traversal,0,5,0,22,91,No,2
4821,qf,2022melew,2022melew_qf3m1,1,3,red,"['frc125', 'frc133', 'frc6895', 'frc190', 'frc3451', 'frc4473']",red,frc125,frc133,frc6895,frc190,frc3451,frc4473,Yes,Traversal,0,4,0,15,85,Yes,1
4394,sf,2022mabos,2022mabos_sf1m1,1,1,red,"['frc6328', 'frc125', 'frc5563', 'frc5846', 'frc6933', 'frc5000']",red,frc6328,frc125,frc5563,frc5846,frc6933,frc5000,Yes,Traversal,0,6,0,29,122,Yes,3
14322,sf,2022week0,2022week0_sf1m1,1,1,red,"['frc125', 'frc238', 'frc5459', 'frc88', 'frc8724', 'frc1073']",red,frc125,frc238,frc5459,frc88,frc8724,frc1073,Yes,Traversal,0,3,0,14,62,Yes,-1
4879,sf,2022melew,2022melew_sf2m1,1,2,blue,"['frc125', 'frc133', 'frc6895', 'frc4564', 'frc5813', 'frc8023']",red,frc125,frc133,frc6895,frc4564,frc5813,frc8023,Yes,Traversal,0,5,0,14,79,No,1
4545,qf,2022marea,2022marea_qf1m1,1,1,red,"['frc125', 'frc5813', 'frc5563', 'frc5459', 'frc4546', 'frc5422']",red,frc125,frc5813,frc5563,frc5459,frc4546,frc5422,Yes,Traversal,0,5,1,28,129,Yes,2
12535,qf,2022tur,2022tur_qf3m1,1,3,red,"['frc971', 'frc3655', 'frc125', 'frc503', 'frc85', 'frc2337']",red,frc971,frc3655,frc125,frc503,frc85,frc2337,Yes,Mid,0,8,0,35,133,Yes,-1
12528,f,2022tur,2022tur_f1m1,1,1,red,"['frc4099', 'frc1577', 'frc4414', 'frc125', 'frc1741', 'frc971']",blue,frc125,frc1741,frc971,frc4099,frc1577,frc4414,Yes,Mid,0,7,0,24,117,No,-1
12666,sf,2022tur,2022tur_sf2m1,1,2,red,"['frc125', 'frc3655', 'frc971', 'frc2468', 'frc2056', 'frc8033']",red,frc125,frc3655,frc971,frc2468,frc2056,frc8033,Yes,Traversal,0,8,1,44,173,Yes,-1
14295,f,2022week0,2022week0_f1m1,1,1,red,"['frc125', 'frc238', 'frc5459', 'frc5813', 'frc58', 'frc501']",red,frc125,frc238,frc5459,frc5813,frc58,frc501,Yes,Traversal,0,4,0,7,51,Yes,-1
14297,qf,2022week0,2022week0_qf1m1,1,1,red,"['frc125', 'frc238', 'frc5459', 'frc8898', 'frc8897', 'frc8899']",red,frc125,frc238,frc5459,frc8898,frc8897,frc8899,Yes,Low,0,0,0,0,16,Yes,-1
4312,qf,2022mabos,2022mabos_qf1m1,1,1,red,"['frc6328', 'frc125', 'frc5563', 'frc1474', 'frc6201', 'frc5347']",red,frc6328,frc125,frc5563,frc1474,frc6201,frc5347,Yes,Traversal,1,3,2,27,126,Yes,3
12529,f,2022tur,2022tur_f1m2,2,1,red,"['frc4099', 'frc1577', 'frc4414', 'frc971', 'frc1741', 'frc125']",blue,frc971,frc1741,frc125,frc4099,frc1577,frc4414,Yes,Traversal,0,7,0,28,124,No,-1
4880,sf,2022melew,2022melew_sf2m2,2,2,blue,"['frc125', 'frc133', 'frc6895', 'frc4564', 'frc5813', 'frc8023']",red,frc125,frc133,frc6895,frc4564,frc5813,frc8023,Yes,Traversal,0,4,0,21,79,No,1
12667,sf,2022tur,2022tur_sf2m2,2,2,blue,"['frc125', 'frc3655', 'frc971', 'frc2468', 'frc2056', 'frc8033']",red,frc125,frc3655,frc971,frc2468,frc2056,frc8033,Yes,Traversal,0,6,0,35,119,No,-1
4822,qf,2022melew,2022melew_qf3m2,2,3,red,"['frc125', 'frc133', 'frc6895', 'frc190', 'frc3451', 'frc4473']",red,frc125,frc133,frc6895,frc190,frc3451,frc4473,Yes,None,0,2,0,25,78,Yes,1
14296,f,2022week0,2022week0_f1m2,2,1,red,"['frc125', 'frc238', 'frc5459', 'frc5813', 'frc58', 'frc501']",red,frc125,frc238,frc5459,frc5813,frc58,frc501,No,Traversal,0,3,0,3,37,Yes,-1
4632,sf,2022marea,2022marea_sf1m2,2,1,red,"['frc125', 'frc5813', 'frc5563', 'frc319', 'frc4905', 'frc4761']",red,frc125,frc5813,frc5563,frc319,frc4905,frc4761,Yes,Traversal,0,5,0,31,122,Yes,2
14298,qf,2022week0,2022week0_qf1m2,2,1,red,"['frc125', 'frc238', 'frc5459', 'frc8898', 'frc8897', 'frc8899']",red,frc125,frc238,frc5459,frc8898,frc8897,frc8899,Yes,Low,0,0,0,0,18,Yes,-1
12536,qf,2022tur,2022tur_qf3m2,2,3,red,"['frc125', 'frc3655', 'frc971', 'frc2337', 'frc85', 'frc503']",red,frc125,frc3655,frc971,frc2337,frc85,frc503,Yes,Traversal,0,8,0,40,156,Yes,-1
4564,qm,2022marea,2022marea_qm2,2,1,blue,"['frc5962', 'frc1153', 'frc5422', 'frc3958', 'frc125', 'frc4905']",blue,frc3958,frc125,frc4905,frc5962,frc1153,frc5422,Yes,Traversal,0,3,0,17,85,Yes,2
14323,sf,2022week0,2022week0_sf1m2,2,1,red,"['frc125', 'frc238', 'frc5459', 'frc88', 'frc8724', 'frc1073']",red,frc125,frc238,frc5459,frc88,frc8724,frc1073,Yes,Traversal,1,5,0,14,74,Yes,-1
