level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
4263,qm,2022lake,2022lake_qm4,4,1,blue,"['frc3039', 'frc4087', 'frc7428', 'frc8044', 'frc8808', 'frc364']",red,frc3039,frc4087,frc7428,frc8044,frc8808,frc364,Yes,High,0,1,1,7,47,No,4
4232,qm,2022lake,2022lake_qm11,11,1,blue,"['frc8732', 'frc1818', 'frc7428', 'frc118', 'frc8418', 'frc2078']",red,frc8732,frc1818,frc7428,frc118,frc8418,frc2078,Yes,None,0,1,2,8,28,No,4
4239,qm,2022lake,2022lake_qm18,18,1,blue,"['frc5965', 'frc456', 'frc2080', 'frc5997', 'frc8044', 'frc7428']",blue,frc5997,frc8044,frc7428,frc5965,frc456,frc2080,Yes,Mid,0,3,5,13,61,Yes,4
4250,qm,2022lake,2022lake_qm28,28,1,red,"['frc2190', 'frc3932', 'frc5872', 'frc1421', 'frc7428', 'frc3468']",blue,frc1421,frc7428,frc3468,frc2190,frc3932,frc5872,Yes,Mid,2,0,5,5,35,No,4
4255,qm,2022lake,2022lake_qm32,32,1,blue,"['frc7500', 'frc7428', 'frc5785', 'frc2183', 'frc7094', 'frc8044']",red,frc7500,frc7428,frc5785,frc2183,frc7094,frc8044,Yes,High,0,1,2,7,50,No,4
4260,qm,2022lake,2022lake_qm37,37,1,red,"['frc4336', 'frc179', 'frc7094', 'frc7428', 'frc7834', 'frc3753']",blue,frc7428,frc7834,frc3753,frc4336,frc179,frc7094,Yes,High,0,0,3,6,39,No,4
4272,qm,2022lake,2022lake_qm48,48,1,red,"['frc7428', 'frc2992', 'frc8808', 'frc4355', 'frc4978', 'frc5965']",red,frc7428,frc2992,frc8808,frc4355,frc4978,frc5965,Yes,High,1,4,3,15,88,Yes,4
4279,qm,2022lake,2022lake_qm54,54,1,red,"['frc1421', 'frc3616', 'frc233', 'frc8118', 'frc7428', 'frc5872']",blue,frc8118,frc7428,frc5872,frc1421,frc3616,frc233,Yes,None,1,2,0,3,30,No,4
4287,qm,2022lake,2022lake_qm61,61,1,red,"['frc2221', 'frc5872', 'frc1818', 'frc8418', 'frc3606', 'frc7428']",blue,frc8418,frc3606,frc7428,frc2221,frc5872,frc1818,Yes,None,1,1,4,0,20,No,4
4293,qm,2022lake,2022lake_qm67,67,1,red,"['frc8732', 'frc1912', 'frc6068', 'frc3616', 'frc7428', 'frc7661']",blue,frc3616,frc7428,frc7661,frc8732,frc1912,frc6068,Yes,Mid,0,1,1,11,47,No,4
4300,qm,2022lake,2022lake_qm73,73,1,red,"['frc3468', 'frc5863', 'frc5971', 'frc7428', 'frc5965', 'frc2221']",blue,frc7428,frc5965,frc2221,frc3468,frc5863,frc5971,Yes,None,2,0,1,0,21,No,4
