level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
4,qf,2022alhu,2022alhu_qf2m1,1,2,blue,"['frc144', 'frc6823', 'frc1038', 'frc1102', 'frc7111', 'frc2973']",blue,frc1102,frc7111,frc2973,frc144,frc6823,frc1038,Yes,High,0,4,0,5,69,Yes,-1
12121,qf,2022scan,2022scan_qf1m1,1,1,red,"['frc4265', 'frc4020', 'frc1293', 'frc1102', 'frc4823', 'frc4074']",blue,frc1102,frc4823,frc4074,frc4265,frc4020,frc1293,Yes,None,2,0,7,3,27,No,1
92,sf,2022alhu,2022alhu_sf1m1,1,1,red,"['frc59', 'frc364', 'frc3959', 'frc1102', 'frc7111', 'frc2973']",blue,frc1102,frc7111,frc2973,frc59,frc364,frc3959,Yes,Mid,0,3,0,11,64,No,-1
12122,qf,2022scan,2022scan_qf1m2,2,1,red,"['frc4265', 'frc4020', 'frc1293', 'frc1102', 'frc4823', 'frc4074']",blue,frc1102,frc4823,frc4074,frc4265,frc4020,frc1293,Yes,Traversal,3,0,3,2,38,No,1
93,sf,2022alhu,2022alhu_sf1m2,2,1,red,"['frc59', 'frc364', 'frc3959', 'frc1102', 'frc7111', 'frc2973']",blue,frc1102,frc7111,frc2973,frc59,frc364,frc3959,Yes,Traversal,2,4,0,5,76,No,-1
5,qf,2022alhu,2022alhu_qf2m2,2,2,blue,"['frc144', 'frc6823', 'frc1038', 'frc1102', 'frc7111', 'frc2973']",blue,frc1102,frc7111,frc2973,frc144,frc6823,frc1038,Yes,Traversal,1,4,1,14,97,Yes,-1
12163,qm,2022scan,2022scan_qm4,4,1,blue,"['frc5130', 'frc3489', 'frc3976', 'frc5727', 'frc4451', 'frc1102']",blue,frc5727,frc4451,frc1102,frc5130,frc3489,frc3976,Yes,None,0,0,0,0,51,Yes,1
43,qm,2022alhu,2022alhu_qm4,4,1,red,"['frc3653', 'frc7111', 'frc1102', 'frc6937', 'frc801', 'frc2556']",red,frc3653,frc7111,frc1102,frc6937,frc801,frc2556,No,High,0,3,1,17,71,Yes,-1
12199,qm,2022scan,2022scan_qm9,9,1,red,"['frc4265', 'frc4582', 'frc1466', 'frc1102', 'frc5130', 'frc3490']",blue,frc1102,frc5130,frc3490,frc4265,frc4582,frc1466,Yes,None,0,0,0,0,35,No,1
13,qm,2022alhu,2022alhu_qm12,12,1,blue,"['frc120', 'frc34', 'frc3843', 'frc6936', 'frc1102', 'frc3201']",blue,frc6936,frc1102,frc3201,frc120,frc34,frc3843,Yes,Traversal,0,2,15,11,76,Yes,-1
