level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
3764,qf,2022iscmp,2022iscmp_qf2m1,1,2,red,"['frc3075', 'frc2630', 'frc3316', 'frc2231', 'frc5987', 'frc4590']",blue,frc2231,frc5987,frc4590,frc3075,frc2630,frc3316,Yes,Traversal,0,6,0,15,89,No,3
3771,qm,2022iscmp,2022iscmp_qm1,1,1,blue,"['frc5990', 'frc5987', 'frc1690', 'frc1577', 'frc8223', 'frc7845']",red,frc5990,frc5987,frc1690,frc1577,frc8223,frc7845,Yes,Traversal,0,5,0,28,116,No,3
4142,sf,2022isde4,2022isde4_sf1m1,1,1,blue,"['frc4590', 'frc7067', 'frc1954', 'frc5987', 'frc2230', 'frc6168']",blue,frc5987,frc2230,frc6168,frc4590,frc7067,frc1954,Yes,Traversal,0,3,1,13,74,Yes,3
4076,qf,2022isde4,2022isde4_qf2m1,1,2,blue,"['frc1657', 'frc5951', 'frc1580', 'frc5987', 'frc2230', 'frc6168']",blue,frc5987,frc2230,frc6168,frc1657,frc5951,frc1580,Yes,Traversal,0,5,1,8,62,Yes,3
3995,sf,2022isde2,2022isde2_sf1m1,1,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc5135', 'frc4586', 'frc6230']",red,frc3339,frc5987,frc1580,frc5135,frc4586,frc6230,Yes,High,0,2,0,9,72,Yes,1
4070,f,2022isde4,2022isde4_f1m1,1,1,blue,"['frc5987', 'frc2230', 'frc6168', 'frc3835', 'frc5990', 'frc1943']",red,frc5987,frc2230,frc6168,frc3835,frc5990,frc1943,Yes,None,0,4,0,6,0,No,3
3929,qf,2022isde2,2022isde2_qf1m1,1,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc2212', 'frc4320', 'frc5951']",red,frc3339,frc5987,frc1580,frc2212,frc4320,frc5951,Yes,High,3,4,4,22,98,Yes,1
3926,f,2022isde2,2022isde2_f1m1,1,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc3075', 'frc7845', 'frc4416']",red,frc3339,frc5987,frc1580,frc3075,frc7845,frc4416,Yes,High,0,5,1,13,77,Yes,1
3765,qf,2022iscmp,2022iscmp_qf2m2,2,2,red,"['frc3075', 'frc2630', 'frc3316', 'frc2231', 'frc5987', 'frc4590']",blue,frc2231,frc5987,frc4590,frc3075,frc2630,frc3316,Yes,Traversal,0,4,0,14,80,No,3
9301,qm,2022new,2022new_qm2,2,1,blue,"['frc2872', 'frc5987', 'frc1787', 'frc4206', 'frc3005', 'frc2990']",red,frc2872,frc5987,frc1787,frc4206,frc3005,frc2990,Yes,None,0,3,0,20,79,No,-1
4143,sf,2022isde4,2022isde4_sf1m2,2,1,blue,"['frc4590', 'frc7067', 'frc1954', 'frc5987', 'frc2230', 'frc6168']",blue,frc5987,frc2230,frc6168,frc4590,frc7067,frc1954,Yes,Traversal,0,6,0,8,85,Yes,3
3996,sf,2022isde2,2022isde2_sf1m2,2,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc5135', 'frc4586', 'frc6230']",red,frc3339,frc5987,frc1580,frc5135,frc4586,frc6230,Yes,High,1,4,0,22,88,Yes,1
3930,qf,2022isde2,2022isde2_qf1m2,2,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc2212', 'frc4320', 'frc5951']",red,frc3339,frc5987,frc1580,frc2212,frc4320,frc5951,Yes,High,0,3,0,16,72,Yes,1
4077,qf,2022isde4,2022isde4_qf2m2,2,2,blue,"['frc1657', 'frc4320', 'frc1580', 'frc5987', 'frc2230', 'frc6168']",blue,frc5987,frc2230,frc6168,frc1657,frc4320,frc1580,Yes,Traversal,0,2,2,8,53,Yes,3
4071,f,2022isde4,2022isde4_f1m2,2,1,red,"['frc5987', 'frc2230', 'frc6168', 'frc3835', 'frc5990', 'frc1943']",red,frc5987,frc2230,frc6168,frc3835,frc5990,frc1943,Yes,Mid,1,2,0,5,65,Yes,3
3927,f,2022isde2,2022isde2_f1m2,2,1,blue,"['frc3339', 'frc5987', 'frc1580', 'frc3075', 'frc7845', 'frc4416']",red,frc3339,frc5987,frc1580,frc3075,frc7845,frc4416,Yes,High,1,5,1,6,65,No,1
4072,f,2022isde4,2022isde4_f1m3,3,1,blue,"['frc5987', 'frc2230', 'frc6168', 'frc3835', 'frc5990', 'frc1943']",red,frc5987,frc2230,frc6168,frc3835,frc5990,frc1943,Yes,None,0,1,0,5,30,No,3
4106,qm,2022isde4,2022isde4_qm3,3,1,red,"['frc5987', 'frc1954', 'frc1942', 'frc1943', 'frc8843', 'frc5990']",red,frc5987,frc1954,frc1942,frc1943,frc8843,frc5990,Yes,None,1,4,0,3,43,Yes,3
3928,f,2022isde2,2022isde2_f1m3,3,1,red,"['frc3339', 'frc5987', 'frc1580', 'frc3075', 'frc7845', 'frc4416']",red,frc3339,frc5987,frc1580,frc3075,frc7845,frc4416,Yes,High,1,1,1,16,77,Yes,1
3961,qm,2022isde2,2022isde2_qm3,3,1,red,"['frc5987', 'frc6230', 'frc7845', 'frc4586', 'frc5951', 'frc3075']",red,frc5987,frc6230,frc7845,frc4586,frc5951,frc3075,Yes,High,0,0,7,6,48,Yes,1
4138,qm,2022isde4,2022isde4_qm6,6,1,red,"['frc5987', 'frc1943', 'frc6168', 'frc8175', 'frc4661', 'frc8843']",red,frc5987,frc1943,frc6168,frc8175,frc4661,frc8843,Yes,Traversal,0,1,0,9,53,Yes,3
3848,qm,2022iscmp,2022iscmp_qm8,8,1,red,"['frc2231', 'frc1580', 'frc5987', 'frc2212', 'frc3083', 'frc6104']",red,frc2231,frc1580,frc5987,frc2212,frc3083,frc6104,No,None,1,3,3,6,48,Yes,3
3994,qm,2022isde2,2022isde2_qm9,9,1,blue,"['frc3339', 'frc4744', 'frc6168', 'frc5987', 'frc5291', 'frc1657']",blue,frc5987,frc5291,frc1657,frc3339,frc4744,frc6168,Yes,Mid,1,5,10,6,75,Yes,1
4086,qm,2022isde4,2022isde4_qm11,11,1,red,"['frc5990', 'frc5987', 'frc1580', 'frc3835', 'frc3211', 'frc8175']",red,frc5990,frc5987,frc1580,frc3835,frc3211,frc8175,Yes,Traversal,1,2,6,9,73,Yes,3
3944,qm,2022isde2,2022isde2_qm14,14,1,red,"['frc1580', 'frc5987', 'frc6168', 'frc5291', 'frc3388', 'frc4416']",red,frc1580,frc5987,frc6168,frc5291,frc3388,frc4416,Yes,High,0,3,3,8,59,Yes,1
3778,qm,2022iscmp,2022iscmp_qm16,16,1,red,"['frc8175', 'frc1577', 'frc5987', 'frc5135', 'frc2231', 'frc1574']",red,frc8175,frc1577,frc5987,frc5135,frc2231,frc1574,Yes,Traversal,1,7,0,21,107,Yes,3
4092,qm,2022isde4,2022isde4_qm17,17,1,blue,"['frc5951', 'frc4416', 'frc5554', 'frc4320', 'frc3211', 'frc5987']",blue,frc4320,frc3211,frc5987,frc5951,frc4416,frc5554,Yes,High,1,2,8,4,59,Yes,3
