level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
375,qf,2022caav,2022caav_qf4m1,1,4,red,"['frc1572', 'frc3925', 'frc968', 'frc399', 'frc6060', 'frc2659']",red,frc1572,frc3925,frc968,frc399,frc6060,frc2659,Yes,None,1,2,1,15,66,Yes,-1
1139,qf,2022casd,2022casd_qf3m1,1,3,blue,"['frc3647', 'frc3255', 'frc8119', 'frc1572', 'frc1197', 'frc4738']",blue,frc1572,frc1197,frc4738,frc3647,frc3255,frc8119,No,None,1,3,1,19,69,Yes,2
449,sf,2022caav,2022caav_sf2m1,1,2,red,"['frc1538', 'frc3647', 'frc6989', 'frc1572', 'frc3925', 'frc968']",blue,frc1572,frc3925,frc968,frc1538,frc3647,frc6989,Yes,None,1,3,4,2,38,No,-1
376,qf,2022caav,2022caav_qf4m2,2,4,red,"['frc1572', 'frc3925', 'frc968', 'frc399', 'frc6060', 'frc2659']",red,frc1572,frc3925,frc968,frc399,frc6060,frc2659,Yes,None,1,3,0,10,55,Yes,-1
1140,qf,2022casd,2022casd_qf3m2,2,3,red,"['frc3647', 'frc3255', 'frc8119', 'frc1572', 'frc1197', 'frc4738']",blue,frc1572,frc1197,frc4738,frc3647,frc3255,frc8119,No,Mid,1,2,1,18,67,No,2
450,sf,2022caav,2022caav_sf2m2,2,2,red,"['frc1538', 'frc3647', 'frc6989', 'frc1572', 'frc3925', 'frc968']",blue,frc1572,frc3925,frc968,frc1538,frc3647,frc6989,Yes,None,1,1,8,1,40,No,-1
1141,qf,2022casd,2022casd_qf3m3,3,3,red,"['frc3647', 'frc3255', 'frc4984', 'frc1572', 'frc1197', 'frc4738']",blue,frc1572,frc1197,frc4738,frc3647,frc3255,frc4984,No,None,1,2,0,17,52,No,2
399,qm,2022caav,2022caav_qm3,3,1,red,"['frc1572', 'frc2659', 'frc968', 'frc2404', 'frc4079', 'frc6305']",red,frc1572,frc2659,frc968,frc2404,frc4079,frc6305,Yes,None,0,4,0,13,46,Yes,-1
1188,qm,2022casd,2022casd_qm5,5,1,blue,"['frc5851', 'frc1572', 'frc8870', 'frc6995', 'frc8537', 'frc7415']",red,frc5851,frc1572,frc8870,frc6995,frc8537,frc7415,No,None,0,2,0,4,32,No,2
379,qm,2022caav,2022caav_qm11,11,1,red,"['frc5526', 'frc6560', 'frc5199', 'frc1572', 'frc6072', 'frc1700']",blue,frc1572,frc6072,frc1700,frc5526,frc6560,frc5199,Yes,None,0,3,1,9,47,No,-1
384,qm,2022caav,2022caav_qm16,16,1,red,"['frc4014', 'frc1572', 'frc4079', 'frc5137', 'frc6072', 'frc7607']",red,frc4014,frc1572,frc4079,frc5137,frc6072,frc7607,Yes,None,1,0,0,14,60,Yes,-1
1151,qm,2022casd,2022casd_qm16,16,1,red,"['frc3965', 'frc5474', 'frc3008', 'frc1266', 'frc1572', 'frc6695']",blue,frc1266,frc1572,frc6695,frc3965,frc5474,frc3008,Yes,None,0,0,0,3,14,No,2
391,qm,2022caav,2022caav_qm22,22,1,blue,"['frc981', 'frc7607', 'frc6060', 'frc6305', 'frc1572', 'frc3863']",blue,frc6305,frc1572,frc3863,frc981,frc7607,frc6060,Yes,None,0,3,9,12,87,Yes,-1
1159,qm,2022casd,2022casd_qm23,23,1,red,"['frc1572', 'frc3749', 'frc3128', 'frc4139', 'frc4014', 'frc2102']",red,frc1572,frc3749,frc3128,frc4139,frc4014,frc2102,Yes,None,0,2,2,11,55,Yes,2
395,qm,2022caav,2022caav_qm26,26,1,blue,"['frc5012', 'frc3309', 'frc3491', 'frc1572', 'frc4414', 'frc3328']",blue,frc1572,frc4414,frc3328,frc5012,frc3309,frc3491,Yes,None,0,4,0,35,105,Yes,-1
1169,qm,2022casd,2022casd_qm32,32,1,blue,"['frc7415', 'frc1572', 'frc6885', 'frc3328', 'frc4019', 'frc4419']",red,frc7415,frc1572,frc6885,frc3328,frc4019,frc4419,No,None,1,0,2,5,16,No,2
404,qm,2022caav,2022caav_qm34,34,1,blue,"['frc2584', 'frc2659', 'frc981', 'frc399', 'frc5526', 'frc1572']",blue,frc399,frc5526,frc1572,frc2584,frc2659,frc981,Yes,None,1,4,12,6,58,Yes,-1
409,qm,2022caav,2022caav_qm39,39,1,red,"['frc2659', 'frc4014', 'frc5869', 'frc3309', 'frc1572', 'frc2658']",blue,frc3309,frc1572,frc2658,frc2659,frc4014,frc5869,Yes,None,0,1,0,10,49,No,-1
1180,qm,2022casd,2022casd_qm42,42,1,red,"['frc1572', 'frc4114', 'frc3647', 'frc2827', 'frc4984', 'frc8006']",red,frc1572,frc4114,frc3647,frc2827,frc4984,frc8006,Yes,High,0,2,0,3,30,Yes,2
413,qm,2022caav,2022caav_qm42,42,1,red,"['frc3309', 'frc3925', 'frc4160', 'frc1572', 'frc5430', 'frc6989']",blue,frc1572,frc5430,frc6989,frc3309,frc3925,frc4160,Yes,None,0,2,1,3,40,No,-1
420,qm,2022caav,2022caav_qm49,49,1,red,"['frc2404', 'frc1572', 'frc3647', 'frc4414', 'frc5137', 'frc2429']",red,frc2404,frc1572,frc3647,frc4414,frc5137,frc2429,Yes,None,0,7,2,18,97,Yes,-1
