level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
13016,qf,2022txcmp2,2022txcmp2_qf4m1,1,4,blue,"['frc6672', 'frc5431', 'frc3103', 'frc6377', 'frc3735', 'frc7121']",red,frc6672,frc5431,frc3103,frc6377,frc3735,frc7121,Yes,High,0,3,0,16,79,No,-1
13329,qf,2022txirv,2022txirv_qf2m1,1,2,red,"['frc7121', 'frc3035', 'frc7125', 'frc2714', 'frc5431', 'frc8749']",blue,frc2714,frc5431,frc8749,frc7121,frc3035,frc7125,Yes,Traversal,0,0,1,9,48,No,3
13101,sf,2022txcmp2,2022txcmp2_sf2m1,1,2,red,"['frc3847', 'frc624', 'frc7616', 'frc6672', 'frc5431', 'frc3103']",blue,frc6672,frc5431,frc3103,frc3847,frc624,frc7616,Yes,High,0,2,0,15,79,No,-1
13583,qf,2022txwac,2022txwac_qf1m1,1,1,red,"['frc3310', 'frc148', 'frc8858', 'frc7121', 'frc3029', 'frc5431']",blue,frc7121,frc3029,frc5431,frc3310,frc148,frc8858,No,None,0,2,0,1,20,No,0
13330,qf,2022txirv,2022txirv_qf2m2,2,2,red,"['frc7121', 'frc3035', 'frc7125', 'frc2714', 'frc5431', 'frc8749']",blue,frc2714,frc5431,frc8749,frc7121,frc3035,frc7125,Yes,Traversal,0,1,1,7,46,No,3
13017,qf,2022txcmp2,2022txcmp2_qf4m2,2,4,red,"['frc6672', 'frc5431', 'frc3103', 'frc6377', 'frc3735', 'frc7121']",red,frc6672,frc5431,frc3103,frc6377,frc3735,frc7121,Yes,Low,0,2,0,17,82,Yes,-1
13102,sf,2022txcmp2,2022txcmp2_sf2m2,2,2,red,"['frc3847', 'frc624', 'frc7616', 'frc6672', 'frc5431', 'frc3103']",blue,frc6672,frc5431,frc3103,frc3847,frc624,frc7616,Yes,Mid,0,3,0,11,75,No,-1
13584,qf,2022txwac,2022txwac_qf1m2,2,1,red,"['frc3310', 'frc148', 'frc8858', 'frc7121', 'frc3029', 'frc5431']",blue,frc7121,frc3029,frc5431,frc3310,frc148,frc8858,No,Mid,0,0,0,3,24,No,0
13018,qf,2022txcmp2,2022txcmp2_qf4m3,3,4,red,"['frc6672', 'frc5431', 'frc3103', 'frc6377', 'frc3735', 'frc7121']",red,frc6672,frc5431,frc3103,frc6377,frc3735,frc7121,Yes,Mid,1,3,0,21,101,Yes,-1
13369,qm,2022txirv,2022txirv_qm4,4,1,red,"['frc5431', 'frc7535', 'frc7506', 'frc7503', 'frc8749', 'frc4610']",red,frc5431,frc7535,frc7506,frc7503,frc8749,frc4610,Yes,High,1,1,0,4,51,Yes,3
13074,qm,2022txcmp2,2022txcmp2_qm6,6,1,red,"['frc624', 'frc5431', 'frc3847', 'frc1296', 'frc2689', 'frc6672']",red,frc624,frc5431,frc3847,frc1296,frc2689,frc6672,Yes,High,0,6,0,25,109,Yes,-1
13657,qm,2022txwac,2022txwac_qm7,7,1,blue,"['frc5417', 'frc2950', 'frc5431', 'frc8842', 'frc7125', 'frc1477']",red,frc5417,frc2950,frc5431,frc8842,frc7125,frc1477,No,Mid,0,0,0,0,18,No,0
