level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
2084,sf,2022dc313,2022dc313_sf2m1,1,2,blue,"['frc8622', 'frc2068', 'frc8592', 'frc2421', 'frc612', 'frc3748']",red,frc8622,frc2068,frc8592,frc2421,frc612,frc3748,Yes,None,0,0,0,5,26,No,1
2226,sf,2022dc327,2022dc327_sf1m1,1,1,red,"['frc614', 'frc449', 'frc6326', 'frc2068', 'frc2914', 'frc8592']",blue,frc2068,frc2914,frc8592,frc614,frc449,frc6326,Yes,None,0,3,0,7,42,No,3
2053,qm,2022dc313,2022dc313_qm1,1,1,red,"['frc2068', 'frc1111', 'frc8326', 'frc5338', 'frc449', 'frc8592']",red,frc2068,frc1111,frc8326,frc5338,frc449,frc8592,Yes,None,0,1,8,0,22,Yes,1
2227,sf,2022dc327,2022dc327_sf1m2,2,1,red,"['frc614', 'frc449', 'frc6326', 'frc2068', 'frc2914', 'frc8592']",blue,frc2068,frc2914,frc8592,frc614,frc449,frc6326,Yes,None,0,3,1,4,35,No,3
2085,sf,2022dc313,2022dc313_sf2m2,2,2,blue,"['frc8622', 'frc2068', 'frc8592', 'frc2421', 'frc612', 'frc3748']",red,frc8622,frc2068,frc8592,frc2421,frc612,frc3748,Yes,Mid,0,1,1,10,35,No,1
1578,qm,2022chcmp,2022chcmp_qm3,3,1,blue,"['frc3939', 'frc1719', 'frc2068', 'frc1908', 'frc4099', 'frc2186']",red,frc3939,frc1719,frc2068,frc1908,frc4099,frc2186,No,None,0,3,0,7,34,No,-1
2218,qm,2022dc327,2022dc327_qm3,3,1,blue,"['frc116', 'frc8514', 'frc1123', 'frc2068', 'frc611', 'frc449']",blue,frc2068,frc611,frc449,frc116,frc8514,frc1123,Yes,None,2,2,7,7,37,Yes,3
2076,qm,2022dc313,2022dc313_qm4,4,1,blue,"['frc5338', 'frc6239', 'frc8514', 'frc4456', 'frc116', 'frc2068']",blue,frc4456,frc116,frc2068,frc5338,frc6239,frc8514,Yes,None,1,0,4,1,25,Yes,1
2222,qm,2022dc327,2022dc327_qm6,6,1,red,"['frc2068', 'frc1123', 'frc6863', 'frc6326', 'frc8703', 'frc611']",red,frc2068,frc1123,frc6863,frc6326,frc8703,frc611,Yes,Mid,1,0,9,5,31,Yes,3
2080,qm,2022dc313,2022dc313_qm8,8,1,blue,"['frc8514', 'frc449', 'frc2421', 'frc2068', 'frc6239', 'frc8622']",blue,frc2068,frc6239,frc8622,frc8514,frc449,frc2421,Yes,Mid,0,1,2,3,30,Yes,1
2224,qm,2022dc327,2022dc327_qm8,8,1,red,"['frc449', 'frc539', 'frc1123', 'frc8703', 'frc2068', 'frc1727']",blue,frc8703,frc2068,frc1727,frc449,frc539,frc1123,Yes,None,1,1,0,21,52,No,3
2197,qm,2022dc327,2022dc327_qm10,10,1,blue,"['frc6239', 'frc2068', 'frc2914', 'frc5338', 'frc1727', 'frc1123']",red,frc6239,frc2068,frc2914,frc5338,frc1727,frc1123,Yes,None,1,2,4,4,36,No,3
2055,qm,2022dc313,2022dc313_qm11,11,1,red,"['frc8726', 'frc2068', 'frc8703', 'frc4456', 'frc8592', 'frc6239']",red,frc8726,frc2068,frc8703,frc4456,frc8592,frc6239,Yes,None,1,0,2,0,14,Yes,1
1558,qm,2022chcmp,2022chcmp_qm12,12,1,blue,"['frc1086', 'frc2068', 'frc8230', 'frc2199', 'frc401', 'frc623']",red,frc1086,frc2068,frc8230,frc2199,frc401,frc623,Yes,None,1,2,0,10,50,No,-1
2200,qm,2022dc327,2022dc327_qm13,13,1,red,"['frc449', 'frc614', 'frc2068', 'frc6326', 'frc1727', 'frc5338']",red,frc449,frc614,frc2068,frc6326,frc1727,frc5338,Yes,None,3,0,7,6,56,Yes,3
2058,qm,2022dc313,2022dc313_qm14,14,1,red,"['frc2421', 'frc2068', 'frc612', 'frc5841', 'frc4456', 'frc8326']",red,frc2421,frc2068,frc612,frc5841,frc4456,frc8326,Yes,Mid,0,0,3,0,25,Yes,1
2060,qm,2022dc313,2022dc313_qm16,16,1,red,"['frc449', 'frc5841', 'frc2068', 'frc8703', 'frc116', 'frc2421']",red,frc449,frc5841,frc2068,frc8703,frc116,frc2421,No,Traversal,3,0,9,3,44,Yes,1
2204,qm,2022dc327,2022dc327_qm17,17,1,red,"['frc8726', 'frc449', 'frc8592', 'frc116', 'frc6326', 'frc2068']",blue,frc116,frc6326,frc2068,frc8726,frc449,frc8592,Yes,None,0,1,1,8,45,No,3
2063,qm,2022dc313,2022dc313_qm19,19,1,red,"['frc116', 'frc5338', 'frc8622', 'frc1111', 'frc3748', 'frc2068']",blue,frc1111,frc3748,frc2068,frc116,frc5338,frc8622,Yes,None,1,3,2,5,32,No,1
2208,qm,2022dc327,2022dc327_qm20,20,1,red,"['frc614', 'frc2914', 'frc6863', 'frc2068', 'frc5338', 'frc539']",blue,frc2068,frc5338,frc539,frc614,frc2914,frc6863,Yes,None,3,0,10,11,50,No,3
1569,qm,2022chcmp,2022chcmp_qm21,21,1,red,"['frc8230', 'frc6802', 'frc1885', 'frc2068', 'frc5587', 'frc5549']",blue,frc2068,frc5587,frc5549,frc8230,frc6802,frc1885,Yes,None,0,2,0,6,55,No,-1
2210,qm,2022dc327,2022dc327_qm22,22,1,blue,"['frc6863', 'frc6326', 'frc539', 'frc116', 'frc2534', 'frc2068']",blue,frc116,frc2534,frc2068,frc6863,frc6326,frc539,Yes,None,0,3,0,9,46,Yes,3
2068,qm,2022dc313,2022dc313_qm23,23,1,blue,"['frc8514', 'frc116', 'frc5841', 'frc2068', 'frc8726', 'frc8592']",blue,frc2068,frc8726,frc8592,frc8514,frc116,frc5841,Yes,None,1,2,1,7,29,Yes,1
2213,qm,2022dc327,2022dc327_qm25,25,1,blue,"['frc8703', 'frc539', 'frc2914', 'frc2068', 'frc8514', 'frc6326']",blue,frc2068,frc8514,frc6326,frc8703,frc539,frc2914,Yes,None,1,2,0,13,40,Yes,3
2071,qm,2022dc313,2022dc313_qm26,26,1,red,"['frc3748', 'frc2421', 'frc8726', 'frc8514', 'frc2068', 'frc8326']",blue,frc8514,frc2068,frc8326,frc3748,frc2421,frc8726,Yes,None,0,1,1,0,13,No,1
2072,qm,2022dc313,2022dc313_qm27,27,1,red,"['frc2068', 'frc8726', 'frc5338', 'frc8703', 'frc8622', 'frc5841']",red,frc2068,frc8726,frc5338,frc8703,frc8622,frc5841,Yes,None,1,1,11,2,57,Yes,1
2216,qm,2022dc327,2022dc327_qm28,28,1,blue,"['frc2534', 'frc6863', 'frc8514', 'frc5338', 'frc2068', 'frc8726']",blue,frc5338,frc2068,frc8726,frc2534,frc6863,frc8514,Yes,None,2,2,12,12,62,Yes,3
1583,qm,2022chcmp,2022chcmp_qm34,34,1,red,"['frc6194', 'frc4541', 'frc2377', 'frc4286', 'frc2068', 'frc6802']",blue,frc4286,frc2068,frc6802,frc6194,frc4541,frc2377,No,None,1,2,5,10,39,No,-1
1591,qm,2022chcmp,2022chcmp_qm41,41,1,red,"['frc1610', 'frc4821', 'frc1086', 'frc2068', 'frc122', 'frc614']",blue,frc2068,frc122,frc614,frc1610,frc4821,frc1086,Yes,None,0,3,9,13,73,No,-1
1604,qm,2022chcmp,2022chcmp_qm53,53,1,red,"['frc1629', 'frc1610', 'frc2068', 'frc2914', 'frc7429', 'frc8726']",red,frc1629,frc1610,frc2068,frc2914,frc7429,frc8726,Yes,High,0,4,0,24,84,Yes,-1
1617,qm,2022chcmp,2022chcmp_qm65,65,1,red,"['frc2377', 'frc2068', 'frc1895', 'frc2537', 'frc888', 'frc3748']",red,frc2377,frc2068,frc1895,frc2537,frc888,frc3748,Yes,None,0,1,0,18,52,Yes,-1
1626,qm,2022chcmp,2022chcmp_qm73,73,1,red,"['frc122', 'frc5724', 'frc5338', 'frc2068', 'frc3274', 'frc4638']",blue,frc2068,frc3274,frc4638,frc122,frc5724,frc5338,Yes,None,0,2,5,4,60,No,-1
