level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
2228,sf,2022dc327,2022dc327_sf2m1,1,2,red,"['frc1727', 'frc5338', 'frc539', 'frc116', 'frc1123', 'frc8726']",blue,frc116,frc1123,frc8726,frc1727,frc5338,frc539,Yes,Traversal,1,2,10,8,67,No,3
2194,f,2022dc327,2022dc327_f1m1,1,1,red,"['frc614', 'frc449', 'frc6326', 'frc116', 'frc1123', 'frc8726']",blue,frc116,frc1123,frc8726,frc614,frc449,frc6326,Yes,Mid,1,3,9,2,49,No,3
2082,sf,2022dc313,2022dc313_sf1m1,1,1,red,"['frc449', 'frc1111', 'frc116', 'frc8726', 'frc5338', 'frc4456']",red,frc449,frc1111,frc116,frc8726,frc5338,frc4456,Yes,None,2,3,11,9,67,Yes,1
2051,f,2022dc313,2022dc313_f1m1,1,1,red,"['frc449', 'frc1111', 'frc116', 'frc2421', 'frc612', 'frc3748']",red,frc449,frc1111,frc116,frc2421,frc612,frc3748,Yes,Mid,2,5,15,3,67,Yes,1
2052,f,2022dc313,2022dc313_f1m2,2,1,red,"['frc449', 'frc1111', 'frc116', 'frc2421', 'frc612', 'frc3748']",red,frc449,frc1111,frc116,frc2421,frc612,frc3748,Yes,None,2,3,12,7,60,Yes,1
2195,f,2022dc327,2022dc327_f1m2,2,1,red,"['frc614', 'frc449', 'frc6326', 'frc116', 'frc1123', 'frc8726']",blue,frc116,frc1123,frc8726,frc614,frc449,frc6326,Yes,Traversal,1,1,9,3,52,No,3
2229,sf,2022dc327,2022dc327_sf2m2,2,2,blue,"['frc1727', 'frc5338', 'frc539', 'frc116', 'frc1123', 'frc8726']",blue,frc116,frc1123,frc8726,frc1727,frc5338,frc539,Yes,Traversal,1,2,8,7,63,Yes,3
2064,qm,2022dc313,2022dc313_qm2,2,1,red,"['frc3748', 'frc8622', 'frc4456', 'frc8726', 'frc2421', 'frc116']",blue,frc8726,frc2421,frc116,frc3748,frc8622,frc4456,No,None,2,0,3,1,13,No,1
2083,sf,2022dc313,2022dc313_sf1m2,2,1,red,"['frc449', 'frc1111', 'frc116', 'frc8726', 'frc5338', 'frc4456']",red,frc449,frc1111,frc116,frc8726,frc5338,frc4456,Yes,Mid,2,3,2,0,44,Yes,1
2230,sf,2022dc327,2022dc327_sf2m3,3,2,blue,"['frc1727', 'frc5338', 'frc539', 'frc116', 'frc1123', 'frc8726']",blue,frc116,frc1123,frc8726,frc1727,frc5338,frc539,Yes,High,1,2,13,4,65,Yes,3
2218,qm,2022dc327,2022dc327_qm3,3,1,blue,"['frc116', 'frc8514', 'frc1123', 'frc2068', 'frc611', 'frc449']",red,frc116,frc8514,frc1123,frc2068,frc611,frc449,Yes,Mid,2,0,5,0,33,No,3
