level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
227,qf,2022azva,2022azva_qf2m1,1,2,red,"['frc2403', 'frc6352', 'frc2840', 'frc8745', 'frc6413', 'frc3187']",blue,frc8745,frc6413,frc3187,frc2403,frc6352,frc2840,Yes,Mid,3,2,10,5,56,No,2
233,qm,2022azva,2022azva_qm1,1,1,blue,"['frc3187', 'frc5059', 'frc4817', 'frc8745', 'frc8848', 'frc1165']",blue,frc8745,frc8848,frc1165,frc3187,frc5059,frc4817,Yes,Mid,0,2,8,8,44,Yes,2
228,qf,2022azva,2022azva_qf2m2,2,2,red,"['frc2403', 'frc6352', 'frc2840', 'frc8745', 'frc6413', 'frc3187']",blue,frc8745,frc6413,frc3187,frc2403,frc6352,frc2840,Yes,Mid,2,0,4,8,40,No,2
2943,qm,2022hop,2022hop_qm10,10,1,red,"['frc2052', 'frc8745', 'frc6998', 'frc2767', 'frc8159', 'frc6420']",red,frc2052,frc8745,frc6998,frc2767,frc8159,frc6420,Yes,Mid,0,4,1,22,98,Yes,-1
235,qm,2022azva,2022azva_qm11,11,1,red,"['frc698', 'frc8745', 'frc2403', 'frc1212', 'frc2478', 'frc7703']",red,frc698,frc8745,frc2403,frc1212,frc2478,frc7703,Yes,Mid,0,3,1,18,61,Yes,2
238,qm,2022azva,2022azva_qm14,14,1,red,"['frc6352', 'frc5933', 'frc8848', 'frc2840', 'frc8745', 'frc6413']",blue,frc2840,frc8745,frc6413,frc6352,frc5933,frc8848,Yes,None,0,1,6,4,22,No,2
243,qm,2022azva,2022azva_qm19,19,1,blue,"['frc8745', 'frc4111', 'frc6479', 'frc6413', 'frc3944', 'frc498']",red,frc8745,frc4111,frc6479,frc6413,frc3944,frc498,Yes,None,0,0,0,8,20,No,2
2980,qm,2022hop,2022hop_qm20,20,1,red,"['frc3794', 'frc1706', 'frc3322', 'frc4213', 'frc8745', 'frc7315']",blue,frc4213,frc8745,frc7315,frc3794,frc1706,frc3322,Yes,Mid,0,1,9,10,64,No,-1
252,qm,2022azva,2022azva_qm27,27,1,blue,"['frc6833', 'frc2375', 'frc2840', 'frc4146', 'frc8745', 'frc2073']",blue,frc4146,frc8745,frc2073,frc6833,frc2375,frc2840,Yes,None,0,5,2,10,46,Yes,2
2992,qm,2022hop,2022hop_qm31,31,1,red,"['frc1625', 'frc302', 'frc4926', 'frc8745', 'frc3512', 'frc180']",blue,frc8745,frc3512,frc180,frc1625,frc302,frc4926,Yes,None,0,6,1,28,102,No,-1
