level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
10665,qf,2022oktu,2022oktu_qf1m1,1,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc6419', 'frc31', 'frc1750']",red,frc1986,frc2481,frc8711,frc6419,frc31,frc1750,Yes,Low,1,5,1,28,126,Yes,-1
10663,f,2022oktu,2022oktu_f1m1,1,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc2341', 'frc5454', 'frc5437']",red,frc1986,frc2481,frc8711,frc2341,frc5454,frc5437,Yes,None,0,5,0,25,97,Yes,-1
10746,sf,2022oktu,2022oktu_sf1m1,1,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc6026', 'frc6809', 'frc935']",red,frc1986,frc2481,frc8711,frc6026,frc6809,frc935,Yes,Low,0,6,0,21,97,Yes,-1
10666,qf,2022oktu,2022oktu_qf1m2,2,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc6419', 'frc31', 'frc1750']",red,frc1986,frc2481,frc8711,frc6419,frc31,frc1750,Yes,Low,1,3,0,35,115,Yes,-1
10664,f,2022oktu,2022oktu_f1m2,2,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc2341', 'frc5454', 'frc5437']",red,frc1986,frc2481,frc8711,frc2341,frc5454,frc5437,Yes,None,0,6,0,26,111,Yes,-1
10747,sf,2022oktu,2022oktu_sf1m2,2,1,red,"['frc1986', 'frc2481', 'frc8711', 'frc6026', 'frc6809', 'frc935']",red,frc1986,frc2481,frc8711,frc6026,frc6809,frc935,Yes,Low,0,5,0,30,111,Yes,-1
10696,qm,2022oktu,2022oktu_qm3,3,1,blue,"['frc6419', 'frc3507', 'frc8711', 'frc6809', 'frc2341', 'frc3160']",red,frc6419,frc3507,frc8711,frc6809,frc2341,frc3160,Yes,Mid,0,1,1,7,39,No,-1
10631,qm,2022okok,2022okok_qm5,5,1,red,"['frc3660', 'frc4522', 'frc3931', 'frc31', 'frc8711', 'frc2373']",blue,frc31,frc8711,frc2373,frc3660,frc4522,frc3931,Yes,Mid,0,1,5,3,42,No,1
10744,qm,2022oktu,2022oktu_qm8,8,1,red,"['frc1982', 'frc5454', 'frc3931', 'frc8307', 'frc8711', 'frc3160']",blue,frc8307,frc8711,frc3160,frc1982,frc5454,frc3931,Yes,Mid,0,1,0,11,42,No,-1
10589,qm,2022okok,2022okok_qm11,11,1,red,"['frc4256', 'frc3660', 'frc3160', 'frc6809', 'frc2723', 'frc8711']",blue,frc6809,frc2723,frc8711,frc4256,frc3660,frc3160,Yes,None,0,1,0,4,26,No,1
9274,qm,2022new,2022new_qm11,11,1,blue,"['frc2486', 'frc8711', 'frc8709', 'frc4392', 'frc111', 'frc3196']",red,frc2486,frc8711,frc8709,frc4392,frc111,frc3196,Yes,None,0,1,2,21,76,No,-1
10678,qm,2022oktu,2022oktu_qm13,13,1,blue,"['frc5437', 'frc8711', 'frc2773', 'frc8086', 'frc8307', 'frc3931']",red,frc5437,frc8711,frc2773,frc8086,frc8307,frc3931,Yes,Mid,1,1,8,2,44,No,-1
10596,qm,2022okok,2022okok_qm18,18,1,blue,"['frc8711', 'frc3160', 'frc3152', 'frc2395', 'frc3284', 'frc4293']",red,frc8711,frc3160,frc3152,frc2395,frc3284,frc4293,Yes,Mid,0,0,1,7,27,No,1
10684,qm,2022oktu,2022oktu_qm19,19,1,red,"['frc5550', 'frc2718', 'frc5889', 'frc8711', 'frc3931', 'frc4523']",blue,frc8711,frc3931,frc4523,frc5550,frc2718,frc5889,No,Mid,1,2,5,10,67,No,-1
10691,qm,2022oktu,2022oktu_qm25,25,1,blue,"['frc2398', 'frc2718', 'frc5437', 'frc1986', 'frc5889', 'frc8711']",blue,frc1986,frc5889,frc8711,frc2398,frc2718,frc5437,Yes,Mid,0,4,0,23,84,Yes,-1
9307,qm,2022new,2022new_qm25,25,1,blue,"['frc8711', 'frc111', 'frc1711', 'frc1153', 'frc1684', 'frc7034']",red,frc8711,frc111,frc1711,frc1153,frc1684,frc7034,Yes,Low,2,4,4,27,112,No,-1
10608,qm,2022okok,2022okok_qm29,29,1,blue,"['frc5863', 'frc5550', 'frc6464', 'frc8711', 'frc3616', 'frc4499']",blue,frc8711,frc3616,frc4499,frc5863,frc5550,frc6464,Yes,Mid,0,1,0,14,54,Yes,1
10699,qm,2022oktu,2022oktu_qm32,32,1,red,"['frc7744', 'frc8064', 'frc2165', 'frc2398', 'frc8711', 'frc1750']",blue,frc2398,frc8711,frc1750,frc7744,frc8064,frc2165,Yes,Mid,0,1,3,1,23,No,-1
10616,qm,2022okok,2022okok_qm36,36,1,blue,"['frc2773', 'frc2461', 'frc7464', 'frc1619', 'frc8711', 'frc5863']",blue,frc1619,frc8711,frc5863,frc2773,frc2461,frc7464,Yes,Mid,1,2,0,9,55,Yes,1
10705,qm,2022oktu,2022oktu_qm38,38,1,red,"['frc4005', 'frc1750', 'frc2481', 'frc8711', 'frc5550', 'frc2165']",blue,frc8711,frc5550,frc2165,frc4005,frc1750,frc2481,Yes,None,0,3,4,8,54,No,-1
9321,qm,2022new,2022new_qm38,38,1,blue,"['frc587', 'frc7285', 'frc5804', 'frc27', 'frc8711', 'frc1493']",blue,frc27,frc8711,frc1493,frc587,frc7285,frc5804,Yes,Low,0,7,0,37,137,Yes,-1
