level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
7858,qm,2022mnmi,2022mnmi_qm9,9,1,red,"['frc2264', 'frc4624', 'frc3038', 'frc2181', 'frc4539', 'frc3871']",red,frc2264,frc4624,frc3038,frc2181,frc4539,frc3871,Yes,Mid,2,0,11,19,88,Yes,-1
7777,qm,2022mnmi,2022mnmi_qm16,16,1,blue,"['frc2181', 'frc3038', 'frc7850', 'frc2470', 'frc4229', 'frc2508']",red,frc2181,frc3038,frc7850,frc2470,frc4229,frc2508,Yes,Mid,0,0,10,1,28,No,-1
7784,qm,2022mnmi,2022mnmi_qm22,22,1,blue,"['frc3038', 'frc4539', 'frc3691', 'frc5299', 'frc525', 'frc3023']",red,frc3038,frc4539,frc3691,frc5299,frc525,frc3023,No,None,3,0,12,5,56,No,-1
7796,qm,2022mnmi,2022mnmi_qm33,33,1,blue,"['frc7849', 'frc3751', 'frc2498', 'frc3018', 'frc3038', 'frc8878']",blue,frc3018,frc3038,frc8878,frc7849,frc3751,frc2498,Yes,Traversal,3,2,17,3,73,Yes,-1
7808,qm,2022mnmi,2022mnmi_qm44,44,1,blue,"['frc2500', 'frc2879', 'frc3038', 'frc3454', 'frc2202', 'frc2169']",red,frc2500,frc2879,frc3038,frc3454,frc2202,frc2169,Yes,None,3,0,7,0,29,No,-1
7816,qm,2022mnmi,2022mnmi_qm51,51,1,red,"['frc2202', 'frc3038', 'frc2052', 'frc4778', 'frc5434', 'frc3082']",red,frc2202,frc3038,frc2052,frc4778,frc5434,frc3082,Yes,None,0,3,9,21,94,Yes,-1
7826,qm,2022mnmi,2022mnmi_qm60,60,1,red,"['frc3202', 'frc3018', 'frc4207', 'frc5299', 'frc3038', 'frc4632']",blue,frc5299,frc3038,frc4632,frc3202,frc3018,frc4207,Yes,Mid,0,2,2,1,24,No,-1
7838,qm,2022mnmi,2022mnmi_qm71,71,1,blue,"['frc8787', 'frc6420', 'frc7038', 'frc3038', 'frc2502', 'frc2470']",blue,frc3038,frc2502,frc2470,frc8787,frc6420,frc7038,Yes,None,2,2,11,4,53,Yes,-1
7846,qm,2022mnmi,2022mnmi_qm79,79,1,red,"['frc2823', 'frc2879', 'frc3026', 'frc3038', 'frc3082', 'frc5996']",blue,frc3038,frc3082,frc5996,frc2823,frc2879,frc3026,Yes,Mid,2,1,8,6,56,No,-1
7855,qm,2022mnmi,2022mnmi_qm87,87,1,blue,"['frc4198', 'frc2846', 'frc4664', 'frc3026', 'frc4536', 'frc3038']",blue,frc3026,frc4536,frc3038,frc4198,frc2846,frc4664,Yes,Traversal,2,1,9,4,67,Yes,-1
